Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,107007.500000,1.067204,117.275667
Aaron_Sorkin_,135946.000000,0.896803,134.496464
Abdel_Nasser_Assidi_,124364.500000,1.052365,173.087425
Abdoulaye_Wade_,126916.000000,1.185591,177.810892
Abdullah_,146067.000000,1.076365,139.138519
Abdullah_Gul_,140926.000000,1.054713,106.015905
Abdullah_al-Attiyah_,121847.000000,1.038564,139.396240
Abdullatif_Sener_,137980.333333,0.936985,131.021936
Abel_Pacheco_,131417.000000,0.843467,135.922037
Abid_Hamid_Mahmud_Al-Tikriti_,88432.000000,0.691290,177.238867
Adam_Sandler_,147504.000000,0.897204,102.115826
Adam_Scott_,143238.000000,1.002042,160.234905
Adel_Al-Jubeir_,120508.000000,1.065744,148.604116
Adolfo_Aguilar_Zinser_,142120.000000,1.121267,84.635450
Adolfo_Rodriguez_Saa_,121376.500000,0.907559,139.607246
Adrian_McPherson_,151569.000000,1.078855,196.330345
Adrian_Nastase_,0.000000,0.974696,141.562801
Adrien_Brody_,146215.000000,0.692463,110.816597
Ahmad_Masood_,122493.666667,0.994688,149.198626
Ahmed_Chalabi_,111471.000000,1.144401,111.084726
Ahmet_Necdet_Sezer_,104395.750000,1.084605,135.094948
Ai_Sugiyama_,124677.000000,0.910694,135.276123
Aicha_El_Ouafi_,110779.000000,1.028124,151.221481
Aitor_Gonzalez_,108101.000000,0.856554,174.412546
Akbar_Hashemi_Rafsanjani_,134262.000000,0.921494,103.610023
Akhmed_Zakayev_,137214.500000,0.910578,128.846031
Al_Davis_,122608.000000,1.039473,149.335352
Al_Gore_,132675.000000,1.107846,139.248117
Al_Pacino_,159728.000000,1.012181,136.660236
Al_Sharpton_,145491.333333,1.089313,144.190004
Alan_Ball_,133725.333333,0.884336,123.332153
Alan_Greenspan_,134155.500000,0.907697,147.618137
Alan_Mulally_,118507.333333,1.058699,128.868893
Alastair_Campbell_,180140.000000,1.045650,110.588814
Albert_Costa_,107845.000000,0.948984,168.736149
Alberto_Fujimori_,127856.000000,1.013101,136.563156
Alberto_Ruiz_Gallardon_,93119.000000,0.920743,106.286856
Albrecht_Mentz_,137503.000000,1.211920,117.686638
Aldo_Paredes_,130308.333333,0.906894,113.547625
Alec_Baldwin_,126205.000000,1.108975,136.260134
Alejandro_Atchugarry_,113745.000000,1.045733,120.509447
Alejandro_Avila_,124738.666667,1.031731,144.151089
Alejandro_Toledo_,125749.000000,0.936952,130.814373
Aleksander_Kwasniewski_,144858.000000,0.977657,138.489534
Alex_Barros_,133789.000000,0.862383,109.285152
Alex_Penelas_,146249.000000,0.848931,106.845978
Alex_Sink_,134042.500000,0.886229,118.584652
Alexander_Downer_,124479.666667,0.907397,98.386019
Alexander_Losyukov_,123582.000000,1.245856,112.941380
Alexander_Rumyantsev_,131502.500000,1.046368,105.969259
Alexandra_Stevenson_,121447.000000,0.957123,160.323715
Alexandra_Vodjanikova_,166067.500000,0.936976,154.614578
Ali_Abbas_,133062.000000,0.974234,109.476824
Ali_Khamenei_,0.000000,1.184936,122.156216
Ali_Naimi_,147711.500000,0.880216,112.323307
Alice_Fisher_,104303.000000,1.010853,139.590523
