Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,130673.000000,0.609200,136.716375
Aaron_Sorkin_,130810.000000,1.010278,134.505091
Abdel_Nasser_Assidi_,115217.000000,0.412209,158.807669
Abdoulaye_Wade_,105772.000000,0.635238,195.734491
Abdullah_,138483.000000,0.582269,139.144073
Abdullah_Gul_,128123.000000,1.045639,106.036922
Abdullah_al-Attiyah_,100924.000000,1.184943,139.410881
Abdullatif_Sener_,143969.000000,0.953214,131.041605
Abel_Pacheco_,153170.000000,0.669472,135.928942
Abid_Hamid_Mahmud_Al-Tikriti_,166186.000000,0.776978,116.791187
Adam_Sandler_,110036.000000,0.421534,115.316360
Adam_Scott_,111428.500000,0.616402,160.237082
Adel_Al-Jubeir_,160875.000000,0.601848,135.188791
Adolfo_Aguilar_Zinser_,157652.500000,0.662888,135.534910
Adolfo_Rodriguez_Saa_,137303.000000,0.823869,90.631979
Adrian_McPherson_,141784.000000,0.967730,196.335276
Adrian_Nastase_,161255.000000,0.503938,136.948246
Adrien_Brody_,128182.000000,0.562257,124.421114
Ahmad_Masood_,0.000000,0.661935,126.423641
Ahmed_Chalabi_,138191.500000,0.810274,111.107803
Ahmet_Necdet_Sezer_,115548.000000,0.603369,129.490728
Ai_Sugiyama_,124950.000000,0.716898,135.281256
Aicha_El_Ouafi_,129100.000000,0.715305,122.079626
Aitor_Gonzalez_,122901.500000,1.143948,174.417408
Akbar_Hashemi_Rafsanjani_,133743.500000,0.477369,103.618948
Akhmed_Zakayev_,136728.500000,0.672933,125.164650
Al_Davis_,0.000000,1.016932,140.236172
Al_Gore_,126755.000000,0.603066,83.009472
Al_Pacino_,131923.000000,0.395537,136.661901
Al_Sharpton_,138841.000000,0.614344,171.512848
Alan_Ball_,120863.500000,0.942531,123.358068
Alan_Greenspan_,111999.666667,0.636996,139.928354
Alan_Mulally_,118870.000000,0.602467,128.888187
Alastair_Campbell_,142948.000000,0.755051,103.866224
Albert_Costa_,131200.000000,0.820203,168.748255
Alberto_Fujimori_,150669.000000,0.687868,136.580883
Alberto_Ruiz_Gallardon_,136489.500000,0.607202,129.843061
Albrecht_Mentz_,125136.800000,0.570337,128.811060
Aldo_Paredes_,143623.000000,0.818358,113.560230
Alec_Baldwin_,113669.000000,0.540066,136.292385
Alejandro_Atchugarry_,113150.666667,0.461081,120.517128
Alejandro_Avila_,138178.000000,0.778479,144.161350
Alejandro_Toledo_,133823.500000,0.438631,130.847370
Aleksander_Kwasniewski_,121278.333333,0.552511,117.053404
Alex_Barros_,138677.750000,0.544299,109.326649
Alex_Penelas_,125276.000000,0.540026,93.927597
Alex_Sink_,108997.000000,0.906801,118.608477
Alexander_Downer_,103886.000000,0.404704,105.997408
Alexander_Losyukov_,115804.250000,0.439477,118.366690
Alexander_Rumyantsev_,125621.666667,0.712514,112.085190
Alexandra_Stevenson_,0.000000,0.794098,124.371721
Alexandra_Vodjanikova_,110575.750000,0.410343,154.620472
Ali_Abbas_,135556.000000,0.804224,109.490843
Ali_Khamenei_,97365.000000,0.983161,138.274212
Ali_Naimi_,136334.500000,0.737419,112.346640
Alice_Fisher_,121485.000000,0.627287,141.153580
