Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,135639.000000,0.619220,136.706913
Aaron_Sorkin_,139460.500000,1.144225,134.500162
Abdel_Nasser_Assidi_,116414.000000,0.522174,158.804119
Abdoulaye_Wade_,118560.000000,1.310706,186.112125
Abdullah_,135941.000000,0.852481,160.613211
Abdullah_Gul_,106028.000000,0.816976,128.526352
Abdullah_al-Attiyah_,141777.000000,0.913882,139.402273
Abdullatif_Sener_,102890.000000,0.455049,124.882555
Abel_Pacheco_,123528.666667,1.250970,135.926767
Abid_Hamid_Mahmud_Al-Tikriti_,143413.000000,0.929079,177.239468
Adam_Sandler_,150917.500000,1.176810,133.495495
Adam_Scott_,178615.000000,1.177758,145.651737
Adel_Al-Jubeir_,0.000000,0.541819,135.185354
Adolfo_Aguilar_Zinser_,128150.500000,0.922981,135.522812
Adolfo_Rodriguez_Saa_,142984.000000,0.638572,139.618738
Adrian_McPherson_,127133.500000,0.954153,155.079964
Adrian_Nastase_,0.000000,0.402428,141.568968
Adrien_Brody_,153691.250000,0.718474,110.829636
Ahmad_Masood_,152796.000000,0.615960,126.413406
Ahmed_Chalabi_,147691.000000,0.633733,115.819256
Ahmet_Necdet_Sezer_,0.000000,0.923927,135.101801
Ai_Sugiyama_,98702.000000,1.023005,135.278051
Aicha_El_Ouafi_,132878.666667,0.899413,122.068018
Aitor_Gonzalez_,0.000000,0.973678,170.287775
Akbar_Hashemi_Rafsanjani_,73485.000000,0.676909,103.616386
Akhmed_Zakayev_,129396.000000,0.837909,125.158384
Al_Davis_,128532.000000,0.721286,149.338453
Al_Gore_,151451.000000,0.974298,104.271564
Al_Pacino_,119463.000000,1.253552,121.668636
Al_Sharpton_,137046.000000,0.658192,164.897976
Alan_Ball_,150292.000000,0.985678,123.346338
Alan_Greenspan_,118208.000000,0.401088,144.899250
Alan_Mulally_,125151.000000,0.782663,128.877394
Alastair_Campbell_,132758.000000,1.298541,129.311047
Albert_Costa_,168863.000000,1.164489,168.742142
Alberto_Fujimori_,122134.500000,0.976990,127.431889
Alberto_Ruiz_Gallardon_,0.000000,1.026347,129.842319
Albrecht_Mentz_,149847.500000,0.962862,128.809425
Aldo_Paredes_,139629.000000,0.867366,148.936073
Alec_Baldwin_,127368.500000,0.493845,136.281956
Alejandro_Atchugarry_,96070.500000,0.255795,120.513151
Alejandro_Avila_,113690.000000,0.906491,144.155319
Alejandro_Toledo_,109607.000000,0.662928,130.831755
Aleksander_Kwasniewski_,181500.000000,0.551945,117.052280
Alex_Barros_,154276.500000,0.711714,109.302929
Alex_Penelas_,150291.000000,0.852252,93.912060
Alex_Sink_,155652.000000,0.909993,118.595440
Alexander_Downer_,109217.666667,0.470877,98.389427
Alexander_Losyukov_,158633.000000,0.700098,122.964725
Alexander_Rumyantsev_,101686.000000,0.896255,112.071503
Alexandra_Stevenson_,59186.000000,1.051765,160.327578
Alexandra_Vodjanikova_,63033.000000,0.278667,154.617544
Ali_Abbas_,118728.000000,0.762917,91.198627
Ali_Khamenei_,0.000000,1.359524,122.175669
Ali_Naimi_,130559.000000,1.160032,112.333084
Alice_Fisher_,119904.333333,0.767659,141.144617
