Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,125839.000000,0.775278,117.273508
Aaron_Sorkin_,124874.000000,0.906291,134.495190
Abdel_Nasser_Assidi_,94455.000000,0.543464,158.800671
Abdoulaye_Wade_,96670.333333,0.985926,177.808710
Abdullah_,113836.333333,0.773615,139.137878
Abdullah_Gul_,125076.000000,1.111250,106.012211
Abdullah_al-Attiyah_,126033.000000,1.292125,139.394667
Abdullatif_Sener_,91094.500000,0.979470,131.019592
Abel_Pacheco_,147328.000000,0.501302,135.922026
Abid_Hamid_Mahmud_Al-Tikriti_,124732.000000,0.899747,177.238319
Adam_Sandler_,98250.666667,0.381099,115.313871
Adam_Scott_,105509.000000,0.473809,160.234787
Adel_Al-Jubeir_,97555.000000,0.871473,148.603945
Adolfo_Aguilar_Zinser_,162393.000000,0.686691,135.512003
Adolfo_Rodriguez_Saa_,117390.000000,0.868324,139.604502
Adrian_McPherson_,121352.500000,1.065532,155.072144
Adrian_Nastase_,129220.000000,0.712877,136.945562
Adrien_Brody_,120629.666667,0.711245,110.813581
Ahmad_Masood_,147276.000000,0.922655,149.197945
Ahmed_Chalabi_,145504.000000,1.030524,111.084446
Ahmet_Necdet_Sezer_,135415.666667,0.440801,129.479467
Ai_Sugiyama_,138951.000000,0.521973,135.275351
Aicha_El_Ouafi_,119204.500000,0.668753,151.219908
Aitor_Gonzalez_,110144.000000,1.197789,174.411901
Akbar_Hashemi_Rafsanjani_,131390.000000,0.736700,103.609608
Akhmed_Zakayev_,67730.500000,0.517567,128.843847
Al_Davis_,105281.000000,0.834425,149.331551
Al_Gore_,106234.000000,0.624421,139.247669
Al_Pacino_,88025.000000,0.288081,136.660059
Al_Sharpton_,110682.000000,0.737817,164.891315
Alan_Ball_,119791.666667,0.752360,123.330051
Alan_Greenspan_,110746.800000,0.865132,139.921991
Alan_Mulally_,91982.000000,0.705363,128.865845
Alastair_Campbell_,127193.000000,1.153085,129.295189
Albert_Costa_,126842.250000,0.612335,168.734972
Alberto_Fujimori_,132334.000000,0.681056,127.421665
Alberto_Ruiz_Gallardon_,128382.500000,0.400446,129.841499
Albrecht_Mentz_,143192.500000,0.441705,128.807768
Aldo_Paredes_,110520.500000,1.064198,113.545872
Alec_Baldwin_,127741.000000,0.724661,136.260029
Alejandro_Atchugarry_,114443.666667,0.668488,120.508858
Alejandro_Avila_,123095.500000,0.607211,144.149847
Alejandro_Toledo_,110578.400000,0.560892,130.810478
Aleksander_Kwasniewski_,153378.000000,0.594950,138.488234
Alex_Barros_,0.000000,0.705374,146.771208
Alex_Penelas_,166708.000000,0.353662,106.843029
Alex_Sink_,119585.500000,0.607713,149.193464
Alexander_Downer_,89412.000000,0.509528,105.956949
Alexander_Losyukov_,105385.333333,0.983792,112.938072
Alexander_Rumyantsev_,120695.000000,0.575332,105.967859
Alexandra_Stevenson_,112915.000000,0.683059,160.319866
Alexandra_Vodjanikova_,158210.000000,0.691050,154.613966
Ali_Abbas_,124570.500000,0.625979,109.475126
Ali_Khamenei_,125141.500000,1.078048,138.246016
Ali_Naimi_,147167.000000,0.595222,112.318739
