Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,112896.000000,0.960996,117.285973
Aaron_Sorkin_,116982.000000,0.868512,134.502230
Abdel_Nasser_Assidi_,89949.000000,1.006403,173.091114
Abdoulaye_Wade_,121282.000000,0.958549,195.732477
Abdullah_,145406.000000,0.463562,139.142494
Abdullah_Gul_,97501.500000,0.725895,106.029266
Abdullah_al-Attiyah_,114375.000000,1.020622,163.383472
Abdullatif_Sener_,136564.000000,0.560919,124.885048
Abel_Pacheco_,124757.333333,0.934492,138.140520
Abid_Hamid_Mahmud_Al-Tikriti_,147822.500000,0.924373,177.239990
Adam_Sandler_,155367.000000,0.928446,115.315639
Adam_Scott_,113732.500000,1.140390,160.236650
Adel_Al-Jubeir_,134075.000000,0.842113,148.605497
Adolfo_Aguilar_Zinser_,128801.000000,0.707786,135.527231
Adolfo_Rodriguez_Saa_,112243.000000,0.706589,139.622616
Adrian_McPherson_,132427.000000,0.945517,155.082687
Adrian_Nastase_,138914.500000,0.539863,136.947662
Adrien_Brody_,109752.000000,0.671822,110.836294
Ahmad_Masood_,117464.000000,0.667664,126.417759
Ahmed_Chalabi_,107732.666667,0.583377,111.104393
Ahmet_Necdet_Sezer_,107955.000000,1.060552,129.488144
Ai_Sugiyama_,103369.000000,0.966622,135.279528
Aicha_El_Ouafi_,138074.000000,1.232806,151.232338
Aitor_Gonzalez_,149551.000000,0.881601,174.415775
Akbar_Hashemi_Rafsanjani_,0.000000,0.664754,118.409441
Akhmed_Zakayev_,144188.000000,0.685650,128.856907
Al_Davis_,109352.000000,0.680308,149.342672
Al_Gore_,121992.000000,1.211997,121.420523
Al_Pacino_,102437.000000,0.815000,136.661686
Al_Sharpton_,144467.500000,0.539140,144.199554
Alan_Ball_,120533.000000,1.011796,123.351877
Alan_Greenspan_,120687.000000,0.464844,139.926489
Alan_Mulally_,99870.000000,0.791826,128.881687
Alastair_Campbell_,118407.000000,1.063648,129.317911
Albert_Costa_,136179.000000,1.127901,168.744961
Alberto_Fujimori_,95560.000000,0.921125,127.436861
Alberto_Ruiz_Gallardon_,126404.000000,0.609262,106.318844
Albrecht_Mentz_,0.000000,0.916346,117.700798
Aldo_Paredes_,106716.000000,0.706261,113.556154
Alec_Baldwin_,141896.000000,0.687919,136.288336
Alejandro_Atchugarry_,135857.000000,0.527289,120.515303
Alejandro_Avila_,141395.000000,1.088222,160.752588
Alejandro_Toledo_,134786.666667,0.737511,130.838184
Aleksander_Kwasniewski_,156578.000000,0.530182,117.052910
Alex_Barros_,162111.000000,1.009733,146.778742
Alex_Penelas_,123931.000000,0.955684,106.856653
Alex_Sink_,136327.000000,0.834318,118.601902
Alexander_Downer_,114638.000000,0.462114,98.391005
Alexander_Losyukov_,133484.000000,0.511517,122.969290
Alexander_Rumyantsev_,130977.333333,0.683180,105.977095
Alexandra_Stevenson_,102063.000000,0.913879,160.330542
Alexandra_Vodjanikova_,186184.000000,0.513139,154.619184
Ali_Abbas_,140580.666667,1.138651,109.486511
Ali_Khamenei_,100684.000000,0.892659,131.940470
Ali_Naimi_,106814.500000,0.933362,133.639807
Alice_Fisher_,80093.000000,0.664911,141.148329
