Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,106159.666667,0.817459,131.938643
Aaron_Sorkin_,119302.500000,0.863174,134.503443
Abdel_Nasser_Assidi_,121598.333333,0.498239,158.806480
Abdoulaye_Wade_,136066.000000,0.803461,177.819487
Abdullah_,140740.666667,0.455583,139.142986
Abdullah_Gul_,146192.000000,0.676820,106.032658
Abdullah_al-Attiyah_,135071.000000,0.927106,139.408213
Abdullatif_Sener_,151096.666667,0.779792,131.038315
Abel_Pacheco_,106716.000000,0.962704,137.035894
Abid_Hamid_Mahmud_Al-Tikriti_,139758.000000,0.746160,116.790319
Adam_Sandler_,118209.500000,0.722421,115.315947
Adam_Scott_,167324.000000,0.772851,160.236727
Adel_Al-Jubeir_,83260.000000,0.657154,135.187649
Adolfo_Aguilar_Zinser_,123859.500000,0.642130,135.530806
Adolfo_Rodriguez_Saa_,108938.000000,0.635677,139.625538
Adrian_McPherson_,136096.500000,0.994369,196.334339
Adrian_Nastase_,0.000000,0.596738,141.577244
Adrien_Brody_,116891.000000,0.615171,110.839334
Ahmad_Masood_,132762.000000,0.587187,149.202847
Ahmed_Chalabi_,120581.333333,0.525468,111.105021
Ahmet_Necdet_Sezer_,77620.000000,0.688367,129.488998
Ai_Sugiyama_,150001.000000,0.740041,130.571264
Aicha_El_Ouafi_,88856.200000,0.587449,130.815935
Aitor_Gonzalez_,100797.333333,0.791828,174.416473
Akbar_Hashemi_Rafsanjani_,93856.000000,0.432844,103.617502
Akhmed_Zakayev_,107399.000000,0.432890,128.858797
Al_Davis_,0.000000,0.887049,140.232645
Al_Gore_,103001.000000,0.831110,139.251772
Al_Pacino_,94834.666667,0.587993,136.661610
Al_Sharpton_,159389.000000,0.675176,164.902924
Alan_Ball_,125944.000000,0.808170,123.354015
Alan_Greenspan_,134854.000000,0.795104,147.622877
Alan_Mulally_,150053.000000,1.021131,110.268778
Alastair_Campbell_,135500.000000,0.953730,129.321491
Albert_Costa_,116854.000000,0.691417,159.910328
Alberto_Fujimori_,119451.000000,0.549264,136.577038
Alberto_Ruiz_Gallardon_,153992.000000,0.570462,106.322556
Albrecht_Mentz_,111749.000000,0.887878,128.810541
Aldo_Paredes_,111154.000000,0.678027,113.557806
Alec_Baldwin_,113362.250000,0.465308,136.288605
Alejandro_Atchugarry_,147227.666667,0.431733,120.515869
Alejandro_Avila_,147139.000000,0.795943,160.753405
Alejandro_Toledo_,108704.000000,0.611492,130.841757
Aleksander_Kwasniewski_,125715.333333,0.533224,117.053022
Alex_Barros_,113690.000000,0.436762,109.318050
Alex_Penelas_,64345.333333,0.670764,106.859652
Alex_Sink_,130199.000000,0.710681,118.604288
Alexander_Downer_,126677.000000,0.480884,98.391771
Alexander_Losyukov_,103929.000000,0.634162,140.573450
Alexander_Rumyantsev_,106515.000000,0.608634,112.080795
Alexandra_Stevenson_,0.000000,0.643177,124.366074
Alexandra_Vodjanikova_,139439.333333,0.379099,154.619419
Ali_Abbas_,135096.500000,1.015317,109.488184
Ali_Khamenei_,122714.000000,0.813272,138.268921
Ali_Naimi_,127397.333333,0.861958,112.342068
Alice_Fisher_,106007.250000,0.628004,141.150644
