Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,88494.500000,0.783583,117.276751
Aaron_Sorkin_,110347.000000,0.833149,134.497034
Abdel_Nasser_Assidi_,0.000000,0.845934,173.087807
Abdoulaye_Wade_,101926.250000,0.874756,177.811504
Abdullah_,86770.250000,0.472594,139.138964
Abdullah_Gul_,154597.000000,0.674861,106.017227
Abdullah_al-Attiyah_,115944.000000,0.925018,139.397385
Abdullatif_Sener_,131328.000000,0.512240,124.876543
Abel_Pacheco_,109825.000000,1.055286,135.922626
Abid_Hamid_Mahmud_Al-Tikriti_,113457.000000,1.069134,177.238993
Adam_Sandler_,91702.000000,0.884159,115.314291
Adam_Scott_,134100.000000,0.890187,145.648176
Adel_Al-Jubeir_,104340.250000,0.659600,148.604300
Adolfo_Aguilar_Zinser_,110446.000000,0.715910,135.517046
Adolfo_Rodriguez_Saa_,121662.000000,0.759528,139.608650
Adrian_McPherson_,128298.000000,0.964007,196.330673
Adrian_Nastase_,85343.000000,0.413501,136.945917
Adrien_Brody_,139388.000000,0.842730,110.818577
Ahmad_Masood_,110839.000000,0.557630,149.198956
Ahmed_Chalabi_,101546.000000,0.512248,111.086630
Ahmet_Necdet_Sezer_,133089.000000,0.903824,129.481253
Ai_Sugiyama_,139329.000000,0.971777,135.276480
Aicha_El_Ouafi_,84186.000000,0.610303,130.812597
Aitor_Gonzalez_,117691.500000,1.053360,174.412884
Akbar_Hashemi_Rafsanjani_,131536.500000,0.743404,103.610786
Akhmed_Zakayev_,77679.500000,0.646901,128.847044
Al_Davis_,90159.000000,0.801926,140.218121
Al_Gore_,158194.500000,0.904481,82.985733
Al_Pacino_,98481.750000,0.810335,122.290630
Al_Sharpton_,98749.000000,0.626051,164.894035
Alan_Ball_,158903.000000,0.919787,123.334003
Alan_Greenspan_,156593.000000,0.641058,139.923353
Alan_Mulally_,84064.500000,0.512698,128.870142
Alastair_Campbell_,163561.000000,0.910165,129.300957
Albert_Costa_,144424.000000,1.022999,168.737013
Alberto_Fujimori_,83506.000000,0.750700,127.425421
Alberto_Ruiz_Gallardon_,126122.000000,0.608352,106.289829
Albrecht_Mentz_,108898.500000,0.738932,117.688099
Aldo_Paredes_,110137.000000,0.658198,113.548536
Alec_Baldwin_,160203.000000,1.068873,103.857031
Alejandro_Atchugarry_,152742.000000,0.607715,120.510050
Alejandro_Avila_,108437.000000,0.771760,144.151844
Alejandro_Toledo_,118414.000000,0.648475,130.816622
Aleksander_Kwasniewski_,144626.000000,0.897382,138.490122
Alex_Barros_,136381.000000,0.620303,109.287146
Alex_Penelas_,120174.000000,0.896246,106.847160
Alex_Sink_,125868.000000,0.942136,149.196129
Alexander_Downer_,141107.000000,0.772232,105.960350
Alexander_Losyukov_,112352.000000,0.641237,112.942505
Alexander_Rumyantsev_,124969.000000,0.670060,105.970032
Alexandra_Stevenson_,117779.500000,0.776433,160.324413
Alexandra_Vodjanikova_,131789.000000,0.536236,154.615023
Ali_Abbas_,144641.000000,1.072315,109.477875
Ali_Khamenei_,105712.000000,0.813662,138.252432
Ali_Naimi_,111503.500000,0.894885,112.324593
