Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,123393.000000,0.745299,117.296913
Aaron_Sorkin_,139813.000000,0.850135,134.508448
Abdel_Nasser_Assidi_,136110.000000,0.804256,173.095016
Abdoulaye_Wade_,121393.000000,1.005478,177.824646
Abdullah_,129837.800000,0.627217,139.146584
Abdullah_Gul_,87878.500000,0.704106,106.044001
Abdullah_al-Attiyah_,122540.000000,1.028595,139.416445
Abdullatif_Sener_,135132.000000,0.781795,131.050352
Abel_Pacheco_,113208.333333,0.790077,135.934175
Abid_Hamid_Mahmud_Al-Tikriti_,137384.500000,0.856917,177.241650
Adam_Sandler_,112704.333333,0.692080,115.317104
Adam_Scott_,100004.000000,0.835056,160.238335
Adel_Al-Jubeir_,130389.000000,0.782938,148.606701
Adolfo_Aguilar_Zinser_,132161.666667,0.658885,135.540852
Adolfo_Rodriguez_Saa_,109244.000000,0.941543,90.639120
Adrian_McPherson_,90474.666667,0.917515,155.091427
Adrian_Nastase_,111065.000000,0.555731,136.949406
Adrien_Brody_,126053.000000,0.714316,110.855303
Ahmad_Masood_,121719.666667,0.710692,149.205357
Ahmed_Chalabi_,92770.666667,0.764715,110.765352
Ahmet_Necdet_Sezer_,105773.000000,0.648820,129.495703
Ai_Sugiyama_,119309.000000,0.794057,135.283375
Aicha_El_Ouafi_,136100.500000,0.807387,151.242527
Aitor_Gonzalez_,114330.000000,0.895891,174.419210
Akbar_Hashemi_Rafsanjani_,108265.750000,0.617956,103.630009
Akhmed_Zakayev_,96489.200000,0.560394,128.868603
Al_Davis_,124239.250000,0.791568,149.353209
Al_Gore_,114051.500000,0.821880,139.254141
Al_Pacino_,90732.333333,0.624614,136.663568
Al_Sharpton_,137533.666667,0.703567,144.209641
Alan_Ball_,121267.000000,0.772467,123.370762
Alan_Greenspan_,96364.500000,0.835442,139.931263
Alan_Mulally_,108807.000000,0.515905,128.895325
Alastair_Campbell_,111453.666667,0.758062,103.874584
Albert_Costa_,126288.000000,0.865568,168.753178
Alberto_Fujimori_,93952.666667,0.761967,127.450624
Alberto_Ruiz_Gallardon_,121788.500000,0.684231,106.348343
Albrecht_Mentz_,113511.333333,0.806382,128.812296
Aldo_Paredes_,122276.500000,0.724644,113.565048
Alec_Baldwin_,106742.250000,0.693031,136.311049
Alejandro_Atchugarry_,187538.000000,0.717820,120.520864
Alejandro_Avila_,98773.000000,0.657456,144.164974
Alejandro_Toledo_,109419.375000,0.672832,130.861845
Aleksander_Kwasniewski_,128560.000000,0.767205,138.502159
Alex_Barros_,103907.000000,0.644667,109.337971
Alex_Penelas_,119535.000000,0.666821,106.868427
Alex_Sink_,114713.000000,0.671028,118.618500
Alexander_Downer_,139971.500000,0.625755,98.396305
Alexander_Losyukov_,109707.500000,0.751991,112.966076
Alexander_Rumyantsev_,100786.666667,0.605151,112.093163
Alexandra_Stevenson_,84298.500000,0.724369,160.340637
Alexandra_Vodjanikova_,96943.750000,0.571701,154.624170
Ali_Abbas_,113876.000000,0.828532,109.496389
Ali_Khamenei_,127413.000000,0.705639,138.281624
Ali_Naimi_,130682.200000,0.692729,112.353498
