Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,137492.000000,0.796392,131.923422
Aaron_Sorkin_,117707.000000,0.604628,117.377905
Abdel_Nasser_Assidi_,141368.000000,0.483571,158.801044
Abdoulaye_Wade_,180918.000000,0.712820,195.729237
Abdullah_,91155.000000,0.372592,139.138464
Abdullah_Gul_,113665.000000,0.555364,106.014629
Abdullah_al-Attiyah_,131025.000000,1.116480,139.395758
Abdullatif_Sener_,120238.333333,0.678660,131.019554
Abel_Pacheco_,145541.333333,0.998632,135.921785
Abid_Hamid_Mahmud_Al-Tikriti_,128797.000000,0.738301,116.787458
Adam_Sandler_,125956.500000,0.830791,115.314083
Adam_Scott_,0.000000,1.179073,145.647167
Adel_Al-Jubeir_,140382.000000,0.875211,148.604181
Adolfo_Aguilar_Zinser_,0.000000,0.849991,150.092842
Adolfo_Rodriguez_Saa_,129856.666667,0.979903,139.603889
Adrian_McPherson_,105651.000000,0.893940,155.072618
Adrian_Nastase_,120224.000000,0.481673,136.945538
Adrien_Brody_,139925.428571,0.936494,124.407944
Ahmad_Masood_,102154.000000,0.591810,149.198050
Ahmed_Chalabi_,123052.666667,0.510208,111.083374
Ahmet_Necdet_Sezer_,127606.000000,0.995041,129.479757
Ai_Sugiyama_,110218.000000,0.669252,130.548733
Aicha_El_Ouafi_,94201.000000,0.941799,151.220213
Aitor_Gonzalez_,0.000000,0.965013,170.282804
Akbar_Hashemi_Rafsanjani_,152215.000000,0.776905,103.609922
Akhmed_Zakayev_,78173.000000,0.468939,128.844400
Al_Davis_,119599.000000,0.340417,149.334854
Al_Gore_,89243.000000,0.979370,139.248138
Al_Pacino_,142511.000000,0.582133,136.660362
Al_Sharpton_,149552.000000,0.631095,164.891783
Alan_Ball_,0.000000,0.727782,123.609514
Alan_Greenspan_,112760.000000,0.698881,147.618055
Alan_Mulally_,108243.000000,0.534880,128.867126
Alastair_Campbell_,139795.000000,0.796067,110.588247
Albert_Costa_,129565.000000,0.702354,159.905687
Alberto_Fujimori_,139326.000000,0.646055,136.561850
Alberto_Ruiz_Gallardon_,100304.000000,0.823800,129.841328
Albrecht_Mentz_,117168.000000,0.725595,128.807962
Aldo_Paredes_,117859.333333,0.666601,113.546803
Alec_Baldwin_,169358.750000,0.977603,136.712221
Alejandro_Atchugarry_,130171.000000,0.527471,120.509077
Alejandro_Avila_,135771.000000,0.648458,160.747196
Alejandro_Toledo_,133630.666667,0.571928,130.810873
Aleksander_Kwasniewski_,131543.000000,0.847451,116.646723
Alex_Barros_,127668.333333,0.859502,109.278137
Alex_Penelas_,92116.000000,0.745888,106.844774
Alex_Sink_,113727.500000,0.760432,118.583422
Alexander_Downer_,117882.000000,0.652654,98.385366
Alexander_Losyukov_,118751.333333,0.538875,112.938816
Alexander_Rumyantsev_,133815.000000,1.103612,112.060312
Alexandra_Stevenson_,173712.000000,0.850564,103.024063
Alexandra_Vodjanikova_,122455.000000,0.577848,155.264446
Ali_Abbas_,145992.500000,0.982311,109.476200
Ali_Khamenei_,132548.000000,1.330962,138.250111
Ali_Naimi_,129092.000000,0.759040,112.319340
Alice_Fisher_,178441.000000,0.647735,139.588030
