Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,90007.666667,0.631814,117.293163
Aaron_Sorkin_,72590.000000,0.823794,134.506418
Abdel_Nasser_Assidi_,0.000000,0.652489,173.093451
Abdoulaye_Wade_,75100.000000,0.737200,177.823078
Abdullah_,93362.000000,0.536836,139.145044
Abdullah_Gul_,159064.000000,0.915572,128.546638
Abdullah_al-Attiyah_,115218.000000,0.717542,145.214544
Abdullatif_Sener_,126268.000000,0.766106,131.044910
Abel_Pacheco_,74417.000000,0.800087,137.041794
Abid_Hamid_Mahmud_Al-Tikriti_,132448.333333,1.136577,177.241125
Adam_Sandler_,129627.333333,0.518611,115.316706
Adam_Scott_,89446.000000,0.929623,145.656828
Adel_Al-Jubeir_,93708.000000,0.818952,148.606419
Adolfo_Aguilar_Zinser_,144217.000000,0.607702,135.537361
Adolfo_Rodriguez_Saa_,169217.500000,0.976321,90.634581
Adrian_McPherson_,133815.000000,0.684072,196.336048
Adrian_Nastase_,126108.500000,0.590079,136.948715
Adrien_Brody_,93176.000000,0.757277,124.423487
Ahmad_Masood_,107438.000000,0.686242,149.204517
Ahmed_Chalabi_,77540.000000,0.481047,110.758770
Ahmet_Necdet_Sezer_,98249.750000,0.757178,135.112467
Ai_Sugiyama_,148373.000000,0.749955,130.579174
Aicha_El_Ouafi_,117336.666667,0.368289,130.817511
Aitor_Gonzalez_,109344.000000,0.941057,170.292877
Akbar_Hashemi_Rafsanjani_,113481.000000,0.824737,103.621647
Akhmed_Zakayev_,68335.000000,0.533267,128.864153
Al_Davis_,85004.000000,0.553217,149.351023
Al_Gore_,141749.000000,0.811597,83.013344
Al_Pacino_,121929.000000,0.397145,136.662321
Al_Sharpton_,122868.000000,0.628490,144.206839
Alan_Ball_,117996.666667,0.928184,123.362833
Alan_Greenspan_,127207.000000,0.677623,139.929249
Alan_Mulally_,75303.500000,0.443504,128.891058
Alastair_Campbell_,104063.500000,0.952520,129.330948
Albert_Costa_,143302.000000,0.699090,168.750282
Alberto_Fujimori_,151709.000000,0.705415,136.583284
Alberto_Ruiz_Gallardon_,129439.000000,0.900515,106.336571
Albrecht_Mentz_,108506.000000,0.607183,117.710724
Aldo_Paredes_,0.000000,0.680985,148.942965
Alec_Baldwin_,95809.000000,0.766005,136.299330
Alejandro_Atchugarry_,51740.000000,0.645168,120.360136
Alejandro_Avila_,120153.000000,0.634718,160.755871
Alejandro_Toledo_,112472.000000,0.535615,130.852869
Aleksander_Kwasniewski_,134105.000000,0.634195,117.053827
Alex_Barros_,0.000000,0.750283,146.782877
Alex_Penelas_,152348.000000,0.612686,106.865604
Alex_Sink_,96636.000000,0.823880,118.612532
Alexander_Downer_,97744.000000,0.621938,123.863043
Alexander_Losyukov_,61278.333333,0.568311,112.963078
Alexander_Rumyantsev_,149020.000000,1.048490,112.088610
Alexandra_Stevenson_,113125.000000,0.704087,103.061012
Alexandra_Vodjanikova_,181052.000000,0.777087,154.621639
Ali_Abbas_,118055.000000,0.697982,109.493126
Ali_Khamenei_,67908.000000,1.059216,138.277229
Ali_Naimi_,94431.250000,0.593688,112.349667
Alice_Fisher_,0.000000,0.591090,139.625051
