Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,113504.000000,0.681692,117.274433
Aaron_Sorkin_,130215.000000,0.909909,134.495588
Abdel_Nasser_Assidi_,0.000000,0.804213,173.086994
Abdoulaye_Wade_,113795.000000,1.022021,177.809513
Abdullah_,142091.000000,0.856670,139.138100
Abdullah_Gul_,97393.500000,1.120168,106.014027
Abdullah_al-Attiyah_,110667.666667,0.541124,163.375818
Abdullatif_Sener_,107838.000000,0.823858,124.874897
Abel_Pacheco_,130883.000000,0.497805,135.921667
Abid_Hamid_Mahmud_Al-Tikriti_,110197.000000,0.546409,156.623070
Adam_Sandler_,127437.000000,0.542125,115.313986
Adam_Scott_,120998.500000,0.584879,160.234789
Adel_Al-Jubeir_,0.000000,0.856829,135.182867
Adolfo_Aguilar_Zinser_,140982.500000,0.771945,135.514017
Adolfo_Rodriguez_Saa_,137740.500000,0.984041,139.604504
Adrian_McPherson_,121200.500000,0.638324,196.329855
Adrian_Nastase_,126644.000000,0.739840,136.945490
Adrien_Brody_,135972.000000,0.818551,110.814110
Ahmad_Masood_,173927.000000,0.819623,126.405407
Ahmed_Chalabi_,125467.000000,1.055571,111.083147
Ahmet_Necdet_Sezer_,117514.000000,0.509910,129.479601
Ai_Sugiyama_,72516.000000,1.147343,130.548582
Aicha_El_Ouafi_,114390.000000,0.459725,151.220087
Aitor_Gonzalez_,169230.000000,1.004337,174.412014
Akbar_Hashemi_Rafsanjani_,148786.000000,0.574524,118.587168
Akhmed_Zakayev_,136896.000000,0.654700,128.844418
Al_Davis_,127662.000000,0.902355,149.334080
Al_Gore_,102957.000000,0.567063,139.247849
Al_Pacino_,120618.000000,0.444093,136.660238
Al_Sharpton_,111326.500000,1.020831,132.537016
Alan_Ball_,147409.000000,0.739113,123.329782
Alan_Greenspan_,121133.000000,1.004392,139.922558
Alan_Mulally_,97939.000000,0.569783,128.866961
Alastair_Campbell_,85344.000000,0.963950,129.296825
Albert_Costa_,99364.500000,0.431485,168.735115
Alberto_Fujimori_,85041.500000,0.679810,127.422695
Alberto_Ruiz_Gallardon_,116215.666667,0.521852,129.841436
Albrecht_Mentz_,149787.000000,0.881809,117.684666
Aldo_Paredes_,142313.000000,1.131356,148.931129
Alec_Baldwin_,126201.000000,0.574894,103.854885
Alejandro_Atchugarry_,75175.000000,0.476065,120.337032
Alejandro_Avila_,126757.500000,0.570960,144.150106
Alejandro_Toledo_,82470.000000,0.724178,94.083128
Aleksander_Kwasniewski_,156885.000000,0.813062,117.051264
Alex_Barros_,0.000000,0.672341,146.771299
Alex_Penelas_,100793.000000,0.474283,106.844307
Alex_Sink_,110167.000000,0.830438,118.582624
Alexander_Downer_,109321.000000,0.863375,123.852573
Alexander_Losyukov_,118247.333333,1.009734,112.939028
Alexander_Rumyantsev_,116336.000000,0.837296,112.059893
Alexandra_Stevenson_,153049.000000,0.753968,160.322334
Alexandra_Vodjanikova_,111417.666667,0.764741,155.264143
Ali_Abbas_,112510.500000,0.480825,109.475698
Ali_Khamenei_,141314.000000,0.967828,131.921717
Ali_Naimi_,117734.200000,0.501645,112.319990
Alice_Fisher_,0.000000,0.855075,139.587679
