Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,122865.000000,0.792095,117.275909
Aaron_Sorkin_,145034.500000,0.856551,134.496904
Abdel_Nasser_Assidi_,141663.000000,0.954117,158.801640
Abdoulaye_Wade_,145746.000000,0.972519,177.809679
Abdullah_,113182.333333,1.128219,139.138605
Abdullah_Gul_,135859.666667,1.065965,128.513824
Abdullah_al-Attiyah_,122618.000000,0.449258,163.375174
Abdullatif_Sener_,135418.000000,1.058863,131.023788
Abel_Pacheco_,125513.500000,0.465672,135.926289
Abid_Hamid_Mahmud_Al-Tikriti_,141430.000000,0.911170,177.238541
Adam_Sandler_,103440.500000,0.517124,115.316895
Adam_Scott_,113816.000000,0.590232,160.235815
Adel_Al-Jubeir_,129271.000000,0.671828,168.609217
Adolfo_Aguilar_Zinser_,123849.400000,0.757360,135.513941
Adolfo_Rodriguez_Saa_,172136.000000,1.069519,90.624079
Adrian_McPherson_,83903.000000,0.564455,196.330349
Adrian_Nastase_,0.000000,1.374017,141.558880
Adrien_Brody_,132163.000000,0.733122,124.410950
Ahmad_Masood_,0.000000,1.005461,126.406538
Ahmed_Chalabi_,138128.000000,1.054476,110.725206
Ahmet_Necdet_Sezer_,132392.750000,0.581456,129.481766
Ai_Sugiyama_,100933.500000,0.603923,135.276905
Aicha_El_Ouafi_,150681.000000,0.600305,151.222317
Aitor_Gonzalez_,143935.000000,1.069055,174.412895
Akbar_Hashemi_Rafsanjani_,108617.500000,0.987536,103.620556
Akhmed_Zakayev_,155064.000000,0.875042,115.145466
Al_Davis_,69347.500000,1.124754,149.331398
Al_Gore_,156970.000000,0.775594,139.247908
Al_Pacino_,135117.000000,0.564402,136.665514
Al_Sharpton_,119044.750000,1.024479,144.189217
Alan_Ball_,145020.000000,0.819216,123.609192
Alan_Greenspan_,83561.000000,1.201067,139.925983
Alan_Mulally_,128621.250000,0.803032,128.868536
Alastair_Campbell_,136615.000000,0.942152,129.298836
Albert_Costa_,121018.000000,0.430725,168.737080
Alberto_Fujimori_,0.000000,0.876325,136.561939
Alberto_Ruiz_Gallardon_,123547.600000,1.189370,106.290651
Albrecht_Mentz_,133245.000000,0.441086,128.808435
Aldo_Paredes_,131045.000000,1.170423,113.547543
Alec_Baldwin_,132278.333333,1.162340,136.268953
Alejandro_Atchugarry_,108680.500000,1.139856,120.511152
Alejandro_Avila_,149148.000000,0.741812,160.748100
Alejandro_Toledo_,45746.500000,0.895957,94.086086
Aleksander_Kwasniewski_,147087.000000,0.647781,138.489744
Alex_Barros_,135552.500000,1.073694,109.280048
Alex_Penelas_,162239.000000,0.543372,106.844036
Alex_Sink_,137587.000000,0.959437,118.586378
Alexander_Downer_,99061.000000,1.081217,98.387796
Alexander_Losyukov_,131807.200000,0.629821,118.357315
Alexander_Rumyantsev_,124430.500000,0.914151,112.061056
Alexandra_Stevenson_,123453.500000,0.635257,160.320189
Alexandra_Vodjanikova_,119822.000000,1.168544,154.616322
Ali_Abbas_,144385.500000,0.429744,109.477219
Ali_Khamenei_,116703.000000,0.909961,138.247038
Ali_Naimi_,102716.500000,0.565728,112.321896
Alice_Fisher_,126890.000000,1.027635,141.138927
