Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,125603.000000,0.672560,117.271978
Aaron_Sorkin_,0.000000,0.694029,117.375666
Abdel_Nasser_Assidi_,0.000000,0.641204,173.086308
Abdoulaye_Wade_,93203.500000,0.890421,177.808203
Abdullah_,101639.000000,0.377909,160.611763
Abdullah_Gul_,158702.000000,1.161150,106.010466
Abdullah_al-Attiyah_,136821.000000,1.413458,139.392601
Abdullatif_Sener_,130276.500000,0.890389,124.873753
Abel_Pacheco_,121628.200000,0.404143,135.921103
Abid_Hamid_Mahmud_Al-Tikriti_,173143.000000,0.988152,116.786463
Adam_Sandler_,104985.000000,0.383264,115.313585
Adam_Scott_,153606.000000,0.483870,160.234434
Adel_Al-Jubeir_,108758.000000,0.833548,148.603533
Adolfo_Aguilar_Zinser_,134053.000000,0.731335,135.510973
Adolfo_Rodriguez_Saa_,153169.000000,1.084628,139.603027
Adrian_McPherson_,0.000000,1.084672,155.070997
Adrian_Nastase_,124976.000000,0.798776,136.945192
Adrien_Brody_,102392.000000,0.916851,110.810476
Ahmad_Masood_,129262.000000,0.936153,126.402802
Ahmed_Chalabi_,139139.000000,0.830829,110.717657
Ahmet_Necdet_Sezer_,81887.000000,0.518023,129.478357
Ai_Sugiyama_,94901.500000,0.547767,135.274742
Aicha_El_Ouafi_,114362.500000,0.517581,151.218384
Aitor_Gonzalez_,120565.000000,1.334358,174.411396
Akbar_Hashemi_Rafsanjani_,0.000000,0.924560,118.391087
Akhmed_Zakayev_,133385.500000,0.591617,128.842783
Al_Davis_,114588.000000,0.822989,149.330559
Al_Gore_,138415.500000,0.765857,139.246870
Al_Pacino_,72541.833333,0.354280,136.659897
Al_Sharpton_,98604.000000,0.830566,144.186083
Alan_Ball_,108479.666667,0.809713,123.327375
Alan_Greenspan_,133702.000000,0.553819,147.616114
Alan_Mulally_,116778.000000,0.362663,110.246666
Alastair_Campbell_,120785.000000,0.918731,110.584595
Albert_Costa_,129969.333333,0.520822,168.733620
Alberto_Fujimori_,84762.000000,0.534843,127.419765
Alberto_Ruiz_Gallardon_,0.000000,0.400748,129.841429
Albrecht_Mentz_,120407.500000,0.336629,128.807566
Aldo_Paredes_,124902.000000,1.041512,113.544552
Alec_Baldwin_,0.000000,1.010655,116.779081
Alejandro_Atchugarry_,150964.000000,0.948525,120.507799
Alejandro_Avila_,168171.000000,0.614001,144.148575
Alejandro_Toledo_,115283.500000,0.559450,130.807926
Aleksander_Kwasniewski_,72034.000000,0.432239,138.487478
Alex_Barros_,117710.000000,0.679224,146.770306
Alex_Penelas_,43686.000000,0.423017,106.841164
Alex_Sink_,126420.000000,0.538974,138.286163
Alexander_Downer_,47357.500000,0.591131,105.951227
Alexander_Losyukov_,103010.000000,0.507465,140.561514
Alexander_Rumyantsev_,168121.000000,0.927147,112.056507
Alexandra_Stevenson_,92472.333333,0.575897,103.022446
Alexandra_Vodjanikova_,83871.000000,0.985561,154.613302
Ali_Abbas_,113682.000000,0.441896,109.473158
Ali_Khamenei_,0.000000,0.995749,122.149387
Ali_Naimi_,100118.666667,0.413333,112.317863
Alice_Fisher_,88177.000000,0.873363,139.583719
