Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,85213.250000,0.471482,117.281124
Aaron_Sorkin_,108325.000000,0.799660,134.499498
Abdel_Nasser_Assidi_,166093.000000,0.782170,158.803740
Abdoulaye_Wade_,90921.500000,0.769973,177.814833
Abdullah_,145557.750000,0.923595,139.140749
Abdullah_Gul_,134185.000000,0.790858,106.023630
Abdullah_al-Attiyah_,131810.000000,1.023926,139.401676
Abdullatif_Sener_,132296.000000,0.815662,131.027962
Abel_Pacheco_,130776.000000,0.633423,135.923824
Abid_Hamid_Mahmud_Al-Tikriti_,54130.000000,1.250611,116.789095
Adam_Sandler_,125221.800000,0.766343,115.314936
Adam_Scott_,153805.000000,0.667444,160.235615
Adel_Al-Jubeir_,103073.500000,0.764218,148.604954
Adolfo_Aguilar_Zinser_,121376.000000,0.830671,135.522984
Adolfo_Rodriguez_Saa_,0.000000,1.076049,90.622705
Adrian_McPherson_,137121.000000,0.487410,196.332039
Adrian_Nastase_,134359.000000,0.713973,136.946627
Adrien_Brody_,144641.000000,0.957946,110.825977
Ahmad_Masood_,150993.000000,1.162172,149.200459
Ahmed_Chalabi_,144652.000000,0.585310,115.821033
Ahmet_Necdet_Sezer_,118728.000000,0.358641,129.483824
Ai_Sugiyama_,118693.000000,1.108397,130.557484
Aicha_El_Ouafi_,100395.500000,0.490657,151.226370
Aitor_Gonzalez_,146125.000000,0.926283,174.414337
Akbar_Hashemi_Rafsanjani_,116047.000000,0.685669,103.612286
Akhmed_Zakayev_,97782.000000,0.811892,125.157076
Al_Davis_,129020.500000,0.828617,149.341492
Al_Gore_,100969.250000,0.735181,139.250025
Al_Pacino_,90721.000000,0.588215,136.660751
Al_Sharpton_,135733.000000,1.050267,144.195595
Alan_Ball_,110321.333333,0.612465,123.340088
Alan_Greenspan_,143243.500000,1.137088,139.924984
Alan_Mulally_,99298.250000,0.660340,128.875471
Alastair_Campbell_,66730.500000,0.684413,129.308784
Albert_Costa_,126273.000000,0.627906,168.740095
Alberto_Fujimori_,124211.000000,0.758328,127.430508
Alberto_Ruiz_Gallardon_,131897.500000,0.590719,129.842175
Albrecht_Mentz_,143043.500000,0.796547,128.809242
Aldo_Paredes_,148380.000000,0.954370,113.552254
Alec_Baldwin_,154822.000000,0.737977,136.268461
Alejandro_Atchugarry_,84651.000000,0.758853,120.345993
Alejandro_Avila_,117948.500000,0.335677,160.750174
Alejandro_Toledo_,125083.000000,0.824219,130.824451
Aleksander_Kwasniewski_,87752.666667,0.503610,138.492584
Alex_Barros_,127270.333333,0.864096,109.298790
Alex_Penelas_,71411.500000,0.605058,106.852812
Alex_Sink_,119545.833333,0.640427,149.199537
Alexander_Downer_,53511.000000,0.501432,105.968092
Alexander_Losyukov_,79870.000000,0.894722,112.947952
Alexander_Rumyantsev_,109475.000000,0.682647,105.973137
Alexandra_Stevenson_,121392.000000,0.629106,160.328859
Alexandra_Vodjanikova_,124138.666667,0.862070,154.616489
Ali_Abbas_,88524.500000,0.754627,109.482224
Ali_Khamenei_,125255.500000,0.768867,138.260281
Ali_Naimi_,81815.500000,0.575053,112.331245
