Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,107145.875000,0.671911,117.270239
Aaron_Sorkin_,108848.000000,0.759143,134.493402
Abdel_Nasser_Assidi_,0.000000,0.809471,173.085796
Abdoulaye_Wade_,108105.500000,0.839810,177.806667
Abdullah_,79532.500000,0.547457,139.136410
Abdullah_Gul_,115689.600000,0.584139,106.007912
Abdullah_al-Attiyah_,116958.000000,0.853062,163.371532
Abdullatif_Sener_,115946.000000,0.571409,124.872927
Abel_Pacheco_,120189.000000,0.869723,135.920748
Abid_Hamid_Mahmud_Al-Tikriti_,154431.500000,0.889210,177.237944
Adam_Sandler_,98826.500000,0.828942,115.313408
Adam_Scott_,110502.500000,0.721873,145.645491
Adel_Al-Jubeir_,95121.000000,0.728442,148.603323
Adolfo_Aguilar_Zinser_,108960.500000,0.653096,135.508310
Adolfo_Rodriguez_Saa_,124681.000000,0.857997,139.600677
Adrian_McPherson_,127453.000000,0.938813,196.328619
Adrian_Nastase_,89344.000000,0.475345,136.944946
Adrien_Brody_,130550.000000,0.699009,110.807795
Ahmad_Masood_,94149.500000,0.581694,149.196829
Ahmed_Chalabi_,104789.000000,0.535091,111.079735
Ahmet_Necdet_Sezer_,109062.800000,0.574766,135.089802
Ai_Sugiyama_,113072.500000,0.862144,135.274097
Aicha_El_Ouafi_,86896.000000,0.832889,151.216957
Aitor_Gonzalez_,130332.000000,0.869603,174.410843
Akbar_Hashemi_Rafsanjani_,88764.500000,0.716788,103.608131
Akhmed_Zakayev_,103930.250000,0.577234,128.841072
Al_Davis_,124507.000000,0.669781,149.328230
Al_Gore_,104662.750000,0.884551,139.246338
Al_Pacino_,106810.500000,0.664038,136.659727
Al_Sharpton_,121356.000000,0.578753,144.184242
Alan_Ball_,118551.000000,0.784653,123.325064
Alan_Greenspan_,150965.000000,0.780772,139.920877
Alan_Mulally_,0.000000,0.963656,110.243942
Alastair_Campbell_,98766.666667,0.622548,103.829268
Albert_Costa_,155044.000000,0.882181,168.732439
Alberto_Fujimori_,86169.000000,0.824284,127.417850
Alberto_Ruiz_Gallardon_,119528.000000,0.712076,106.275291
Albrecht_Mentz_,101891.000000,0.877632,128.807201
Aldo_Paredes_,63348.000000,0.545717,113.543102
Alec_Baldwin_,126811.000000,0.671875,136.254040
Alejandro_Atchugarry_,155812.000000,0.685464,120.507065
Alejandro_Avila_,91153.000000,0.676676,144.147490
Alejandro_Toledo_,117658.600000,0.697508,130.804630
Aleksander_Kwasniewski_,138603.000000,0.786062,138.486427
Alex_Barros_,141666.500000,0.510991,109.269869
Alex_Penelas_,112309.000000,0.744977,106.838861
Alex_Sink_,125434.000000,0.725541,118.576897
Alexander_Downer_,80084.000000,0.544389,98.383780
Alexander_Losyukov_,101157.166667,0.602000,112.934343
Alexander_Rumyantsev_,83098.000000,0.858399,112.053810
Alexandra_Stevenson_,106127.500000,0.722296,103.019188
Alexandra_Vodjanikova_,141113.000000,0.596090,154.612713
Ali_Abbas_,156868.000000,0.851797,109.471521
Ali_Khamenei_,115092.000000,0.689384,131.919657
Ali_Naimi_,115088.000000,0.723613,112.314602
Alice_Fisher_,101650.000000,0.502568,141.134066
