Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,118167.500000,0.976159,131.932627
Aaron_Sorkin_,138348.000000,0.743696,134.500280
Abdel_Nasser_Assidi_,137247.000000,0.737339,158.804262
Abdoulaye_Wade_,0.000000,0.723844,196.949976
Abdullah_,141361.000000,0.503188,139.140993
Abdullah_Gul_,145779.000000,0.907088,106.025110
Abdullah_al-Attiyah_,115893.000000,0.821866,163.381502
Abdullatif_Sener_,140483.000000,0.937948,131.030481
Abel_Pacheco_,135548.000000,1.001760,135.924734
Abid_Hamid_Mahmud_Al-Tikriti_,125757.500000,0.895825,177.239740
Adam_Sandler_,95681.000000,0.758167,115.315163
Adam_Scott_,120425.000000,1.102981,160.235760
Adel_Al-Jubeir_,131532.000000,0.734609,148.605015
Adolfo_Aguilar_Zinser_,107442.250000,0.496435,135.524237
Adolfo_Rodriguez_Saa_,0.000000,0.661245,90.624569
Adrian_McPherson_,149236.000000,1.286623,196.332478
Adrian_Nastase_,122520.000000,0.697735,136.946838
Adrien_Brody_,131160.000000,0.543008,124.413980
Ahmad_Masood_,128302.666667,0.380618,149.201021
Ahmed_Chalabi_,146332.500000,0.569528,111.094393
Ahmet_Necdet_Sezer_,125366.000000,0.894823,135.101463
Ai_Sugiyama_,105050.000000,0.864034,135.278330
Aicha_El_Ouafi_,120001.000000,0.524387,130.814301
Aitor_Gonzalez_,0.000000,0.706213,170.287273
Akbar_Hashemi_Rafsanjani_,142642.000000,0.791733,118.594662
Akhmed_Zakayev_,112190.000000,0.840577,128.852724
Al_Davis_,122780.000000,0.973377,149.341431
Al_Gore_,108512.000000,1.319323,121.415703
Al_Pacino_,132081.333333,0.787018,136.660740
Al_Sharpton_,130711.000000,0.630205,132.550743
Alan_Ball_,145670.000000,1.119986,123.343386
Alan_Greenspan_,110754.500000,0.532269,139.925268
Alan_Mulally_,112478.000000,1.082822,110.261250
Alastair_Campbell_,94680.500000,0.613125,131.550985
Albert_Costa_,145204.000000,1.026406,168.741379
Alberto_Fujimori_,141286.000000,0.809214,127.431601
Alberto_Ruiz_Gallardon_,132399.000000,0.585064,106.304777
Albrecht_Mentz_,108898.500000,0.797439,128.809423
Aldo_Paredes_,0.000000,0.679992,148.936325
Alec_Baldwin_,105225.000000,0.808781,136.273438
Alejandro_Atchugarry_,122231.000000,0.685265,120.512701
Alejandro_Avila_,166314.000000,0.527372,148.379105
Alejandro_Toledo_,109471.000000,0.700217,130.828688
Aleksander_Kwasniewski_,144897.000000,1.206593,138.493631
Alex_Barros_,0.000000,0.826564,146.776268
Alex_Penelas_,94505.000000,0.798426,106.853802
Alex_Sink_,133427.000000,1.045347,149.200289
Alexander_Downer_,149522.000000,0.927607,117.487896
Alexander_Losyukov_,124018.000000,0.650032,112.950047
Alexander_Rumyantsev_,132970.500000,0.869910,105.974291
Alexandra_Stevenson_,114348.000000,0.957813,103.040937
Alexandra_Vodjanikova_,111360.000000,0.614517,154.616802
Ali_Abbas_,139908.000000,1.007480,109.482973
Ali_Khamenei_,0.000000,1.048384,122.172905
Ali_Naimi_,103112.000000,1.013051,112.334137
Alice_Fisher_,109196.333333,0.432893,141.145678
