Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,139772.000000,0.956254,131.934158
Aaron_Sorkin_,0.000000,0.710181,117.385778
Abdel_Nasser_Assidi_,127504.500000,0.600982,158.804449
Abdoulaye_Wade_,0.000000,0.660923,196.950258
Abdullah_,135821.000000,0.794385,101.819496
Abdullah_Gul_,104874.000000,0.742653,116.043295
Abdullah_al-Attiyah_,112906.500000,0.808533,145.209852
Abdullatif_Sener_,132394.500000,0.976507,131.032541
Abel_Pacheco_,117529.666667,0.740617,135.926149
Abid_Hamid_Mahmud_Al-Tikriti_,103992.500000,0.771665,177.239651
Adam_Sandler_,109252.000000,0.534046,115.315243
Adam_Scott_,128321.000000,0.626850,160.236046
Adel_Al-Jubeir_,99399.000000,0.786766,148.605049
Adolfo_Aguilar_Zinser_,127961.000000,0.851924,135.524559
Adolfo_Rodriguez_Saa_,162310.000000,0.935480,90.625744
Adrian_McPherson_,0.000000,0.980380,155.080610
Adrian_Nastase_,128565.666667,0.694854,136.946936
Adrien_Brody_,108320.000000,0.670839,110.830460
Ahmad_Masood_,140037.000000,0.928998,149.201170
Ahmed_Chalabi_,128363.500000,0.863435,110.739182
Ahmet_Necdet_Sezer_,126322.000000,0.636210,129.485699
Ai_Sugiyama_,119607.000000,1.011478,136.168131
Aicha_El_Ouafi_,0.000000,0.861314,122.069023
Aitor_Gonzalez_,0.000000,0.989325,170.288080
Akbar_Hashemi_Rafsanjani_,81964.500000,0.495373,103.614758
Akhmed_Zakayev_,151981.000000,0.648087,115.150599
Al_Davis_,76640.000000,0.961966,149.340483
Al_Gore_,169171.000000,0.818223,139.249941
Al_Pacino_,166614.000000,0.589508,136.661055
Al_Sharpton_,168157.000000,0.856394,144.196585
Alan_Ball_,133043.000000,0.853455,123.616024
Alan_Greenspan_,160876.000000,0.672841,153.432720
Alan_Mulally_,149987.000000,0.768114,128.878662
Alastair_Campbell_,155503.000000,1.218930,129.312544
Albert_Costa_,0.000000,1.034261,114.965210
Alberto_Fujimori_,146666.000000,0.874343,127.432032
Alberto_Ruiz_Gallardon_,140967.000000,0.738218,106.310478
Albrecht_Mentz_,0.000000,0.954065,117.696478
Aldo_Paredes_,146760.500000,1.137296,148.936798
Alec_Baldwin_,154177.000000,0.678511,136.280298
Alejandro_Atchugarry_,149041.500000,0.678853,120.513338
Alejandro_Avila_,0.000000,0.775323,148.379589
Alejandro_Toledo_,153441.000000,0.830524,145.857855
Aleksander_Kwasniewski_,121605.000000,0.513073,101.134718
Alex_Barros_,125279.000000,0.674768,109.306417
Alex_Penelas_,155427.000000,0.660051,93.914141
Alex_Sink_,124915.000000,0.697509,138.294798
Alexander_Downer_,118631.000000,0.658413,98.389513
Alexander_Losyukov_,128479.000000,0.555772,118.361080
Alexander_Rumyantsev_,118969.000000,0.743914,112.072836
Alexandra_Stevenson_,134763.000000,0.942344,160.329443
Alexandra_Vodjanikova_,0.000000,0.799156,155.272570
Ali_Abbas_,130796.000000,0.860630,109.483051
Ali_Khamenei_,122447.000000,0.877680,138.260534
Ali_Naimi_,97569.000000,0.825993,112.335159
Alice_Fisher_,124051.000000,0.776048,141.145924
