Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,121055.500000,0.864580,117.268881
Aaron_Sorkin_,101009.000000,0.798464,117.372578
Abdel_Nasser_Assidi_,144759.000000,0.824518,158.798574
Abdoulaye_Wade_,99338.000000,0.796306,177.804670
Abdullah_,88106.000000,0.350531,139.136177
Abdullah_Gul_,110805.000000,0.581543,106.005905
Abdullah_al-Attiyah_,122124.000000,0.914243,139.389986
Abdullatif_Sener_,158958.000000,0.772137,124.871635
Abel_Pacheco_,69948.000000,0.753198,137.014036
Abid_Hamid_Mahmud_Al-Tikriti_,140973.000000,1.095090,177.237658
Adam_Sandler_,116488.000000,1.111818,115.313208
Adam_Scott_,112531.500000,0.917873,145.644543
Adel_Al-Jubeir_,122510.000000,0.930020,148.603334
Adolfo_Aguilar_Zinser_,128084.333333,0.694009,135.506126
Adolfo_Rodriguez_Saa_,105162.000000,0.879944,139.595648
Adrian_McPherson_,116983.500000,1.168510,196.327993
Adrian_Nastase_,122352.000000,0.668992,136.944613
Adrien_Brody_,120114.000000,0.918446,110.804192
Ahmad_Masood_,93292.000000,0.386166,149.195974
Ahmed_Chalabi_,93065.250000,0.389786,111.076529
Ahmet_Necdet_Sezer_,107930.000000,0.850022,135.088093
Ai_Sugiyama_,167360.000000,1.002674,135.273695
Aicha_El_Ouafi_,123539.500000,1.170646,151.214729
Aitor_Gonzalez_,136851.000000,0.763584,170.279865
Akbar_Hashemi_Rafsanjani_,108187.000000,0.966305,103.607565
Akhmed_Zakayev_,113451.000000,0.846344,128.838533
Al_Davis_,112229.500000,0.734675,140.206594
Al_Gore_,100175.000000,1.289690,121.395428
Al_Pacino_,117755.000000,0.888826,136.659876
Al_Sharpton_,123233.500000,0.481004,144.182823
Alan_Ball_,0.000000,0.929576,123.602549
Alan_Greenspan_,146057.000000,0.542424,139.920530
Alan_Mulally_,123861.000000,0.677266,128.859436
Alastair_Campbell_,132863.000000,0.635742,103.826420
Albert_Costa_,128176.000000,1.055642,168.730833
Alberto_Fujimori_,161212.000000,0.827591,136.554131
Alberto_Ruiz_Gallardon_,149680.000000,1.171903,129.840715
Albrecht_Mentz_,153800.500000,1.020591,128.806831
Aldo_Paredes_,0.000000,0.418434,148.927153
Alec_Baldwin_,135888.000000,0.801405,136.249208
Alejandro_Atchugarry_,113408.000000,0.797375,120.329477
Alejandro_Avila_,122040.000000,0.473587,148.372747
Alejandro_Toledo_,149483.000000,0.787032,130.798883
Aleksander_Kwasniewski_,139158.500000,1.113388,138.484880
Alex_Barros_,140505.000000,0.711959,109.260298
Alex_Penelas_,128003.000000,1.020651,106.837139
Alex_Sink_,148509.000000,1.267418,138.282488
Alexander_Downer_,135373.000000,1.131177,105.943720
Alexander_Losyukov_,90985.000000,0.406898,112.930775
Alexander_Rumyantsev_,119496.500000,1.236076,112.050667
Alexandra_Stevenson_,62870.000000,0.964276,160.316357
Alexandra_Vodjanikova_,146879.000000,0.771068,154.612455
Ali_Abbas_,78965.000000,1.086497,109.470490
Ali_Khamenei_,165426.000000,0.963212,122.136604
Ali_Naimi_,97029.500000,0.994552,112.309269
Alice_Fisher_,116823.500000,0.658168,141.132696
