Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,111408.000000,0.681323,117.266088
Aaron_Sorkin_,127394.500000,0.647197,134.491106
Abdel_Nasser_Assidi_,0.000000,1.042096,173.084707
Abdoulaye_Wade_,119786.000000,0.772434,177.802937
Abdullah_,123701.000000,0.613293,139.134754
Abdullah_Gul_,111900.500000,0.520286,106.000910
Abdullah_al-Attiyah_,125460.500000,0.818666,139.387566
Abdullatif_Sener_,121382.666667,0.826064,131.012993
Abel_Pacheco_,106680.000000,0.755684,137.011175
Abid_Hamid_Mahmud_Al-Tikriti_,128316.500000,0.970913,177.236986
Adam_Sandler_,149915.500000,1.290818,115.312809
Adam_Scott_,139892.333333,1.225093,160.233984
Adel_Al-Jubeir_,158118.500000,1.287097,168.607643
Adolfo_Aguilar_Zinser_,145396.333333,0.807463,135.501097
Adolfo_Rodriguez_Saa_,132494.000000,0.874948,90.613010
Adrian_McPherson_,135618.000000,1.021873,196.327438
Adrian_Nastase_,0.000000,0.569401,141.546795
Adrien_Brody_,172443.500000,1.001962,110.802338
Ahmad_Masood_,111555.000000,0.564013,149.195629
Ahmed_Chalabi_,131967.000000,0.651948,110.710257
Ahmet_Necdet_Sezer_,0.000000,0.809038,135.086304
Ai_Sugiyama_,149347.666667,0.577473,130.543331
Aicha_El_Ouafi_,125919.000000,1.138721,151.214321
Aitor_Gonzalez_,115297.000000,0.673903,174.409576
Akbar_Hashemi_Rafsanjani_,92663.000000,1.143684,103.607832
Akhmed_Zakayev_,122826.500000,0.934117,128.837784
Al_Davis_,122430.500000,0.673384,149.320421
Al_Gore_,115154.500000,1.078369,139.245047
Al_Pacino_,108513.333333,1.305980,121.656544
Al_Sharpton_,127789.000000,0.986300,164.885300
Alan_Ball_,0.000000,0.958589,123.596798
Alan_Greenspan_,116219.500000,1.073282,147.612207
Alan_Mulally_,107393.000000,1.301740,110.237738
Alastair_Campbell_,108095.333333,0.654333,129.282101
Albert_Costa_,145651.500000,1.075081,168.730478
Alberto_Fujimori_,127262.666667,0.843250,136.549339
Alberto_Ruiz_Gallardon_,133604.000000,0.893103,106.270235
Albrecht_Mentz_,153595.000000,1.182910,128.806421
Aldo_Paredes_,103699.000000,0.536998,148.925400
Alec_Baldwin_,123343.000000,1.010200,136.255663
Alejandro_Atchugarry_,159505.000000,0.946286,120.505882
Alejandro_Avila_,105844.666667,0.843050,160.743580
Alejandro_Toledo_,134498.000000,1.039633,130.799171
Aleksander_Kwasniewski_,123485.000000,1.179760,138.484358
Alex_Barros_,128792.000000,0.711129,109.255854
Alex_Penelas_,133546.000000,1.143510,106.832825
Alex_Sink_,148076.000000,0.741132,118.571898
Alexander_Downer_,0.000000,1.197475,117.440851
Alexander_Losyukov_,79787.750000,0.499839,112.929142
Alexander_Rumyantsev_,129838.000000,1.126359,112.047222
Alexandra_Stevenson_,98186.200000,0.860810,160.310497
Alexandra_Vodjanikova_,133328.000000,0.884329,154.611601
Ali_Abbas_,108597.000000,1.214048,109.467760
Ali_Khamenei_,119592.000000,0.815501,138.230495
Ali_Naimi_,150284.000000,0.734681,134.784636
Alice_Fisher_,152198.000000,0.785866,139.572901
