Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,144480.500000,0.886585,117.267370
Aaron_Sorkin_,122628.500000,0.750143,134.491251
Abdel_Nasser_Assidi_,130925.500000,0.565478,173.084789
Abdoulaye_Wade_,133509.000000,1.042038,195.726088
Abdullah_,107869.000000,0.347784,139.135466
Abdullah_Gul_,138048.000000,0.510151,106.002958
Abdullah_al-Attiyah_,124238.000000,0.960930,139.389011
Abdullatif_Sener_,121918.000000,0.621278,124.871696
Abel_Pacheco_,138830.500000,1.243131,135.920391
Abid_Hamid_Mahmud_Al-Tikriti_,158102.000000,0.578293,116.785088
Adam_Sandler_,145489.000000,1.033477,115.312941
Adam_Scott_,145946.000000,0.955354,145.644455
Adel_Al-Jubeir_,107248.000000,0.693426,135.179823
Adolfo_Aguilar_Zinser_,163742.000000,0.906305,150.085667
Adolfo_Rodriguez_Saa_,0.000000,0.788543,90.611826
Adrian_McPherson_,118257.000000,1.128659,196.327524
Adrian_Nastase_,134149.000000,0.609384,136.944530
Adrien_Brody_,149315.000000,0.835835,110.802263
Ahmad_Masood_,116477.500000,0.369908,149.195463
Ahmed_Chalabi_,108955.500000,0.333813,111.077782
Ahmet_Necdet_Sezer_,101489.000000,1.065220,129.475527
Ai_Sugiyama_,168016.000000,1.061093,135.273088
Aicha_El_Ouafi_,133056.000000,0.613343,130.809427
Aitor_Gonzalez_,179971.000000,0.665096,170.279375
Akbar_Hashemi_Rafsanjani_,145061.000000,0.782437,118.580408
Akhmed_Zakayev_,135669.000000,0.710100,128.837297
Al_Davis_,115141.000000,0.630409,149.324627
Al_Gore_,104408.000000,1.005589,139.245872
Al_Pacino_,128737.000000,1.294106,121.655703
Al_Sharpton_,153809.000000,0.520550,144.181074
Alan_Ball_,119866.500000,0.943075,123.600544
Alan_Greenspan_,171345.000000,0.600503,139.919636
Alan_Mulally_,0.000000,1.140133,110.237419
Alastair_Campbell_,143520.500000,0.737540,103.822990
Albert_Costa_,102767.000000,1.217306,168.730314
Alberto_Fujimori_,0.000000,0.698096,136.551315
Alberto_Ruiz_Gallardon_,149771.000000,0.649121,106.267294
Albrecht_Mentz_,144921.000000,1.087583,128.806570
Aldo_Paredes_,132812.666667,0.587699,113.540257
Alec_Baldwin_,108311.000000,0.611761,136.251482
Alejandro_Atchugarry_,0.000000,0.832780,120.326868
Alejandro_Avila_,139266.000000,0.576717,148.372417
Alejandro_Toledo_,123470.000000,0.700990,130.796997
Aleksander_Kwasniewski_,112826.500000,1.125405,138.484083
Alex_Barros_,141320.500000,0.617062,109.253479
Alex_Penelas_,188575.000000,0.795274,93.883799
Alex_Sink_,138392.000000,0.769845,118.572395
Alexander_Downer_,148305.000000,1.044292,105.945906
Alexander_Losyukov_,138184.000000,0.452898,112.928778
Alexander_Rumyantsev_,155533.000000,1.049176,112.047832
Alexandra_Stevenson_,138016.000000,0.808201,160.313541
Alexandra_Vodjanikova_,170180.000000,0.571272,154.612215
Ali_Abbas_,179395.000000,0.543923,91.188482
Ali_Khamenei_,161354.000000,0.820656,122.134258
Ali_Naimi_,132794.333333,1.093815,112.306273
Alice_Fisher_,121097.000000,0.639224,141.130901
