Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,123641.000000,0.988960,131.918369
Aaron_Sorkin_,157228.000000,0.968224,134.491631
Abdel_Nasser_Assidi_,139011.000000,0.525801,158.798054
Abdoulaye_Wade_,0.000000,0.742125,196.948296
Abdullah_,141094.000000,0.476521,139.135187
Abdullah_Gul_,137280.000000,0.840402,124.040432
Abdullah_al-Attiyah_,128266.000000,0.908824,139.388744
Abdullatif_Sener_,139185.000000,0.866887,131.013794
Abel_Pacheco_,114552.000000,1.162772,135.921217
Abid_Hamid_Mahmud_Al-Tikriti_,90753.000000,0.790558,156.621899
Adam_Sandler_,144608.500000,0.955275,133.490330
Adam_Scott_,155692.500000,0.993770,145.645264
Adel_Al-Jubeir_,139502.000000,1.072687,168.607847
Adolfo_Aguilar_Zinser_,152994.333333,0.742288,135.502262
Adolfo_Rodriguez_Saa_,186468.000000,0.673946,139.598228
Adrian_McPherson_,128325.666667,0.923203,155.067650
Adrian_Nastase_,102178.000000,0.609880,136.944828
Adrien_Brody_,120004.666667,0.673394,110.803873
Ahmad_Masood_,134768.500000,0.715556,126.396984
Ahmed_Chalabi_,123302.000000,0.536514,111.080961
Ahmet_Necdet_Sezer_,115916.000000,0.941821,135.087135
Ai_Sugiyama_,130415.000000,0.985462,135.272903
Aicha_El_Ouafi_,141767.000000,1.245463,151.215109
Aitor_Gonzalez_,150884.000000,0.877630,170.280277
Akbar_Hashemi_Rafsanjani_,113464.000000,0.790021,103.607904
Akhmed_Zakayev_,148181.000000,0.775506,125.147585
Al_Davis_,117400.000000,0.828443,149.321604
Al_Gore_,137675.666667,1.048623,139.245586
Al_Pacino_,122347.000000,0.808374,136.659456
Al_Sharpton_,120611.000000,0.587173,144.180809
Alan_Ball_,119207.000000,1.003031,123.323305
Alan_Greenspan_,80200.000000,0.534992,139.919197
Alan_Mulally_,132106.000000,1.126554,110.238819
Alastair_Campbell_,91665.000000,0.566460,103.821852
Albert_Costa_,120304.000000,1.198529,168.731161
Alberto_Fujimori_,125354.000000,0.823723,136.550446
Alberto_Ruiz_Gallardon_,110482.000000,0.516951,106.271948
Albrecht_Mentz_,138877.000000,0.835469,128.806627
Aldo_Paredes_,143300.000000,0.777350,148.925873
Alec_Baldwin_,122591.000000,0.634204,136.256470
Alejandro_Atchugarry_,143548.000000,0.473478,120.506405
Alejandro_Avila_,147134.000000,0.662390,148.372761
Alejandro_Toledo_,128142.000000,0.663762,140.681801
Aleksander_Kwasniewski_,154612.500000,0.524160,117.050203
Alex_Barros_,119598.000000,0.581918,109.257450
Alex_Penelas_,143137.500000,0.871563,106.834246
Alex_Sink_,118699.000000,1.238843,138.281313
Alexander_Downer_,58255.000000,0.585782,98.382568
Alexander_Losyukov_,109701.000000,0.704370,112.930317
Alexander_Rumyantsev_,124579.000000,1.091234,112.048756
Alexandra_Stevenson_,160402.000000,1.035062,160.311195
Alexandra_Vodjanikova_,72666.666667,0.448167,154.611937
Ali_Abbas_,0.000000,0.706133,91.188360
Ali_Khamenei_,0.000000,1.285085,122.141113
Ali_Naimi_,158895.000000,1.056527,112.309048
Alice_Fisher_,124070.000000,0.530469,141.130253
