Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,136918.000000,0.638036,136.684380
Aaron_Sorkin_,113253.000000,0.889678,134.490446
Abdel_Nasser_Assidi_,0.000000,0.899613,173.084208
Abdoulaye_Wade_,130294.000000,0.827563,177.802233
Abdullah_,107348.000000,0.454672,139.134651
Abdullah_Gul_,165909.000000,0.946789,115.988390
Abdullah_al-Attiyah_,0.000000,0.996579,145.204502
Abdullatif_Sener_,0.000000,0.838916,124.870440
Abel_Pacheco_,127462.000000,1.110873,135.919682
Abid_Hamid_Mahmud_Al-Tikriti_,126032.000000,1.208380,177.237024
Adam_Sandler_,131641.000000,1.078016,115.312635
Adam_Scott_,122018.000000,1.052758,160.233763
Adel_Al-Jubeir_,143482.000000,0.906158,148.602787
Adolfo_Aguilar_Zinser_,138700.000000,0.761737,135.500647
Adolfo_Rodriguez_Saa_,122729.000000,1.004697,139.593647
Adrian_McPherson_,131440.000000,0.922476,196.327003
Adrian_Nastase_,95953.000000,0.638774,136.944328
Adrien_Brody_,130290.000000,0.989502,110.799467
Ahmad_Masood_,75351.400000,0.427953,149.195086
Ahmed_Chalabi_,146440.500000,0.447125,110.706627
Ahmet_Necdet_Sezer_,136354.000000,1.094069,129.474512
Ai_Sugiyama_,99091.000000,0.804390,118.285679
Aicha_El_Ouafi_,0.000000,0.744435,122.047306
Aitor_Gonzalez_,146363.000000,0.890603,174.409138
Akbar_Hashemi_Rafsanjani_,143289.000000,0.994765,103.606527
Akhmed_Zakayev_,124391.000000,0.856275,128.836008
Al_Davis_,0.000000,0.705266,140.203590
Al_Gore_,111514.000000,1.231830,121.391867
Al_Pacino_,153432.000000,1.230666,121.654543
Al_Sharpton_,137938.000000,0.633048,132.519749
Alan_Ball_,0.000000,0.922935,123.597006
Alan_Greenspan_,118208.000000,0.926797,147.612680
Alan_Mulally_,150331.000000,1.138983,110.235807
Alastair_Campbell_,130233.000000,0.809755,129.280483
Albert_Costa_,142913.500000,0.834315,161.715223
Alberto_Fujimori_,0.000000,0.811691,136.548964
Alberto_Ruiz_Gallardon_,139634.000000,1.075422,129.840719
Albrecht_Mentz_,150845.000000,0.547820,117.672417
Aldo_Paredes_,123077.500000,0.498635,148.924814
Alec_Baldwin_,144325.000000,0.812922,136.248514
Alejandro_Atchugarry_,167179.000000,0.902418,120.505123
Alejandro_Avila_,78912.000000,0.470404,148.371559
Alejandro_Toledo_,104230.333333,0.579686,145.850418
Aleksander_Kwasniewski_,127198.000000,0.713977,117.050060
Alex_Barros_,0.000000,0.904093,146.766640
Alex_Penelas_,119391.000000,0.799342,93.880753
Alex_Sink_,147350.000000,0.815612,118.569832
Alexander_Downer_,110270.000000,0.861927,98.381495
Alexander_Losyukov_,102086.000000,0.386679,112.927322
Alexander_Rumyantsev_,116442.000000,1.196872,112.045731
Alexandra_Stevenson_,149096.000000,0.883317,160.311028
Alexandra_Vodjanikova_,129611.000000,0.808527,155.258224
Ali_Abbas_,124089.000000,1.000687,109.467237
Ali_Khamenei_,88157.000000,0.896371,138.231461
Ali_Naimi_,119401.000000,0.887133,133.623327
Alice_Fisher_,145774.000000,0.594500,139.570204
