Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,160562.000000,0.765263,117.278734
Aaron_Sorkin_,88124.666667,0.886724,134.498323
Abdel_Nasser_Assidi_,125279.000000,0.540398,158.802868
Abdoulaye_Wade_,137140.000000,0.787390,177.813318
Abdullah_,116141.000000,0.557307,160.612524
Abdullah_Gul_,134877.666667,0.792625,128.522295
Abdullah_al-Attiyah_,148636.500000,1.067326,139.399298
Abdullatif_Sener_,133419.000000,0.810100,131.027296
Abel_Pacheco_,124098.000000,0.762495,135.924084
Abid_Hamid_Mahmud_Al-Tikriti_,129952.000000,0.806250,116.788111
Adam_Sandler_,110315.500000,0.646969,115.314686
Adam_Scott_,109599.500000,0.957566,145.649588
Adel_Al-Jubeir_,151848.000000,0.669701,148.604528
Adolfo_Aguilar_Zinser_,122585.800000,0.670312,135.519577
Adolfo_Rodriguez_Saa_,82381.000000,0.875307,139.613878
Adrian_McPherson_,127599.000000,0.825745,196.331440
Adrian_Nastase_,125155.000000,0.397088,136.946283
Adrien_Brody_,132872.333333,0.750533,124.411703
Ahmad_Masood_,162451.000000,0.788649,149.199903
Ahmed_Chalabi_,119340.500000,0.677501,111.092073
Ahmet_Necdet_Sezer_,0.000000,0.641831,135.098381
Ai_Sugiyama_,126434.000000,0.734871,130.558100
Aicha_El_Ouafi_,108995.000000,0.749903,151.225275
Aitor_Gonzalez_,0.000000,0.899707,170.286036
Akbar_Hashemi_Rafsanjani_,159623.000000,0.578936,103.611965
Akhmed_Zakayev_,99540.000000,0.409795,128.849985
Al_Davis_,139138.000000,0.844893,140.222090
Al_Gore_,154001.000000,0.746344,121.411325
Al_Pacino_,141980.000000,0.562625,136.660465
Al_Sharpton_,107339.000000,0.651800,144.192766
Alan_Ball_,124744.000000,0.821896,123.339375
Alan_Greenspan_,125788.000000,0.692017,147.618671
Alan_Mulally_,95130.000000,0.531804,128.873535
Alastair_Campbell_,127622.000000,1.082007,129.305017
Albert_Costa_,144138.000000,0.843709,168.739363
Alberto_Fujimori_,117197.000000,0.691222,127.427034
Alberto_Ruiz_Gallardon_,162817.000000,0.712983,129.842154
Albrecht_Mentz_,0.000000,0.869527,117.691044
Aldo_Paredes_,121156.000000,1.009505,148.934315
Alec_Baldwin_,129473.000000,0.609587,136.271053
Alejandro_Atchugarry_,100649.666667,0.654752,120.342003
Alejandro_Avila_,123112.000000,0.584156,144.153200
Alejandro_Toledo_,92242.000000,0.558295,130.823465
Aleksander_Kwasniewski_,129523.000000,0.512034,117.051697
Alex_Barros_,0.000000,0.754268,146.774714
Alex_Penelas_,145821.000000,0.629164,106.849113
Alex_Sink_,106058.000000,0.721112,118.589712
Alexander_Downer_,145148.000000,0.526719,98.387617
Alexander_Losyukov_,84458.000000,0.743659,112.946402
Alexander_Rumyantsev_,138461.000000,0.573377,105.971790
Alexandra_Stevenson_,105551.400000,0.733244,160.325850
Alexandra_Vodjanikova_,127377.750000,0.540799,154.615700
Ali_Abbas_,125991.500000,0.799758,109.479362
Ali_Khamenei_,117828.000000,1.019284,138.254168
Ali_Naimi_,102714.000000,0.700889,112.329456
Alice_Fisher_,162167.000000,0.726000,141.142294
