Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,130027.000000,0.837178,117.274504
Aaron_Sorkin_,103888.000000,0.872516,134.495764
Abdel_Nasser_Assidi_,113144.000000,0.650513,158.801048
Abdoulaye_Wade_,142356.000000,0.915866,177.809786
Abdullah_,158661.000000,0.693625,139.138182
Abdullah_Gul_,78633.000000,0.969806,106.013933
Abdullah_al-Attiyah_,117700.000000,0.502894,163.375792
Abdullatif_Sener_,117461.750000,0.577829,124.875057
Abel_Pacheco_,98902.000000,0.670207,135.921787
Abid_Hamid_Mahmud_Al-Tikriti_,89782.000000,0.799777,177.238621
Adam_Sandler_,129263.333333,0.603288,115.313978
Adam_Scott_,140316.000000,0.834572,160.234835
Adel_Al-Jubeir_,133366.500000,0.888158,168.608709
Adolfo_Aguilar_Zinser_,86288.000000,0.741044,84.634159
Adolfo_Rodriguez_Saa_,143447.000000,0.850476,139.605637
Adrian_McPherson_,0.000000,1.020654,155.072798
Adrian_Nastase_,105815.500000,0.661649,136.945597
Adrien_Brody_,138092.000000,0.661092,110.814770
Ahmad_Masood_,152884.000000,0.706153,149.198238
Ahmed_Chalabi_,128857.000000,0.844245,111.083921
Ahmet_Necdet_Sezer_,131361.000000,0.843827,129.479824
Ai_Sugiyama_,137134.000000,0.660896,135.275719
Aicha_El_Ouafi_,131110.000000,0.859151,151.220423
Aitor_Gonzalez_,110633.000000,0.965794,174.412195
Akbar_Hashemi_Rafsanjani_,145546.000000,0.711871,118.587193
Akhmed_Zakayev_,116790.666667,0.541805,128.844770
Al_Davis_,102516.000000,0.757376,149.333698
Al_Gore_,103838.000000,0.806897,139.247849
Al_Pacino_,126919.000000,0.499338,136.660126
Al_Sharpton_,131100.666667,0.571348,144.188831
Alan_Ball_,161978.000000,0.767836,123.330544
Alan_Greenspan_,154766.333333,0.729896,139.922472
Alan_Mulally_,119551.000000,0.717919,128.867279
Alastair_Campbell_,171890.000000,1.081036,129.296881
Albert_Costa_,129422.833333,0.675054,168.735359
Alberto_Fujimori_,147121.000000,0.659134,127.422684
Alberto_Ruiz_Gallardon_,147479.000000,0.757867,106.284109
Albrecht_Mentz_,0.000000,1.038938,117.685110
Aldo_Paredes_,0.000000,0.856646,148.931257
Alec_Baldwin_,114661.000000,0.757856,136.258993
Alejandro_Atchugarry_,127845.250000,0.684088,120.509041
Alejandro_Avila_,94744.000000,0.870881,160.747196
Alejandro_Toledo_,102089.500000,0.513357,130.811951
Aleksander_Kwasniewski_,151587.333333,0.683500,138.488798
Alex_Barros_,114803.000000,0.679509,109.280361
Alex_Penelas_,119258.250000,0.672001,106.844515
Alex_Sink_,106810.666667,0.875568,118.583258
Alexander_Downer_,98714.000000,0.656638,98.385437
Alexander_Losyukov_,91749.000000,0.607910,140.563452
Alexander_Rumyantsev_,146077.000000,1.013766,112.060434
Alexandra_Stevenson_,140750.333333,0.792467,160.322018
Alexandra_Vodjanikova_,105438.333333,0.721924,154.614182
Ali_Abbas_,137118.500000,0.622584,109.475882
Ali_Khamenei_,136506.000000,0.948579,138.248571
Ali_Naimi_,133390.500000,0.684594,112.321039
Alice_Fisher_,110424.000000,0.649097,141.138508
