Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,100191.000000,0.750217,117.274557
Aaron_Sorkin_,119506.000000,0.663835,117.378052
Abdel_Nasser_Assidi_,0.000000,0.751262,173.087120
Abdoulaye_Wade_,82229.000000,0.883571,177.810200
Abdullah_,158570.000000,0.585836,139.138086
Abdullah_Gul_,102649.000000,0.910161,106.014074
Abdullah_al-Attiyah_,131483.000000,1.066156,139.395216
Abdullatif_Sener_,174967.000000,0.761153,124.875139
Abel_Pacheco_,117393.800000,0.841225,137.020943
Abid_Hamid_Mahmud_Al-Tikriti_,131724.000000,1.008143,177.238722
Adam_Sandler_,105809.000000,0.754831,115.313942
Adam_Scott_,0.000000,0.975714,145.647247
Adel_Al-Jubeir_,129525.000000,0.824227,148.603954
Adolfo_Aguilar_Zinser_,134082.000000,0.733392,135.514318
Adolfo_Rodriguez_Saa_,0.000000,0.903792,90.617920
Adrian_McPherson_,136959.000000,0.831256,196.330017
Adrian_Nastase_,125802.500000,0.686881,136.945621
Adrien_Brody_,119664.750000,0.830399,124.407833
Ahmad_Masood_,130714.000000,0.756746,149.198368
Ahmed_Chalabi_,121593.500000,0.809163,111.084003
Ahmet_Necdet_Sezer_,97750.000000,0.766254,135.093935
Ai_Sugiyama_,135841.000000,0.836482,135.275707
Aicha_El_Ouafi_,126873.000000,0.621496,130.812004
Aitor_Gonzalez_,123219.500000,1.046934,174.412313
Akbar_Hashemi_Rafsanjani_,122861.000000,0.760958,103.609587
Akhmed_Zakayev_,121660.500000,0.629630,128.845171
Al_Davis_,110527.500000,0.657818,149.333565
Al_Gore_,113379.000000,0.803411,139.247797
Al_Pacino_,126977.000000,0.663253,136.660070
Al_Sharpton_,137206.000000,0.907135,168.745703
Alan_Ball_,125971.000000,0.795249,123.331154
Alan_Greenspan_,122812.000000,0.707170,139.922529
Alan_Mulally_,96020.500000,0.601821,128.867542
Alastair_Campbell_,135477.000000,0.875662,129.296934
Albert_Costa_,120230.000000,0.821324,168.735489
Alberto_Fujimori_,135861.000000,0.715295,136.561621
Alberto_Ruiz_Gallardon_,138004.000000,0.745012,129.841715
Albrecht_Mentz_,133130.500000,0.797063,128.808050
Aldo_Paredes_,124426.000000,0.605346,148.931442
Alec_Baldwin_,140224.500000,0.780405,136.259249
Alejandro_Atchugarry_,0.000000,0.704741,120.337070
Alejandro_Avila_,133053.000000,0.701260,160.747253
Alejandro_Toledo_,130179.000000,0.608494,130.812840
Aleksander_Kwasniewski_,149927.000000,0.745458,117.051105
Alex_Barros_,119427.500000,0.859894,109.282520
Alex_Penelas_,0.000000,0.700085,93.898354
Alex_Sink_,118324.000000,0.737991,118.583353
Alexander_Downer_,132719.000000,0.749214,105.955769
Alexander_Losyukov_,101792.500000,0.651505,112.940166
Alexander_Rumyantsev_,138137.000000,0.964467,112.060854
Alexandra_Stevenson_,142474.000000,0.722516,160.322063
Alexandra_Vodjanikova_,90677.000000,0.817999,154.614136
Ali_Abbas_,156808.500000,0.824790,109.475834
Ali_Khamenei_,116538.000000,0.863704,138.248379
Ali_Naimi_,93959.000000,0.722390,112.322077
Alice_Fisher_,124454.000000,0.806988,141.138578
