Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,72991.000000,0.532196,131.947243
Aaron_Sorkin_,0.000000,0.577170,117.399837
Abdel_Nasser_Assidi_,121544.000000,0.622766,158.810043
Abdoulaye_Wade_,149551.000000,0.807432,177.825373
Abdullah_,122394.000000,0.590334,139.146675
Abdullah_Gul_,112072.000000,0.626241,128.552711
Abdullah_al-Attiyah_,73166.000000,1.033769,139.416803
Abdullatif_Sener_,143227.000000,0.516661,124.893351
Abel_Pacheco_,110810.666667,0.769415,135.933216
Abid_Hamid_Mahmud_Al-Tikriti_,122663.000000,0.752121,116.792686
Adam_Sandler_,92254.000000,0.461727,115.317192
Adam_Scott_,105561.333333,0.761550,160.238237
Adel_Al-Jubeir_,124623.000000,0.626957,148.606819
Adolfo_Aguilar_Zinser_,103530.000000,0.523323,135.541855
Adolfo_Rodriguez_Saa_,156361.000000,0.936887,90.638643
Adrian_McPherson_,113824.666667,0.865415,155.091587
Adrian_Nastase_,132401.000000,0.534353,136.949347
Adrien_Brody_,168776.000000,0.675990,110.855507
Ahmad_Masood_,101547.000000,0.698222,126.430086
Ahmed_Chalabi_,130643.500000,0.781702,111.118412
Ahmet_Necdet_Sezer_,116086.000000,0.544834,129.495451
Ai_Sugiyama_,122387.000000,0.781050,135.283493
Aicha_El_Ouafi_,123759.000000,0.604370,151.242523
Aitor_Gonzalez_,132455.000000,0.984261,174.419329
Akbar_Hashemi_Rafsanjani_,105681.750000,0.602411,103.627657
Akhmed_Zakayev_,96060.000000,0.545548,128.868412
Al_Davis_,121117.000000,0.806168,140.243406
Al_Gore_,109717.000000,0.738464,139.254337
Al_Pacino_,108691.250000,0.438678,136.663183
Al_Sharpton_,135619.000000,0.561902,164.909330
Alan_Ball_,125959.333333,0.794493,123.369862
Alan_Greenspan_,92120.000000,0.693693,127.113829
Alan_Mulally_,118082.333333,0.466811,128.895758
Alastair_Campbell_,129300.000000,0.944343,129.337652
Albert_Costa_,139249.000000,0.814121,161.722303
Alberto_Fujimori_,121490.000000,0.598208,127.450476
Alberto_Ruiz_Gallardon_,94729.000000,0.630793,106.347170
Albrecht_Mentz_,75553.000000,0.655580,128.812277
Aldo_Paredes_,82016.666667,0.699984,113.565348
Alec_Baldwin_,81218.800000,0.625492,136.308235
Alejandro_Atchugarry_,114007.000000,0.601548,120.364948
Alejandro_Avila_,96363.000000,0.554351,148.386797
Alejandro_Toledo_,108147.000000,0.509169,130.861443
Aleksander_Kwasniewski_,160867.000000,0.655076,138.502306
Alex_Barros_,96070.500000,0.611349,109.340351
Alex_Penelas_,132636.333333,0.521426,106.869564
Alex_Sink_,0.000000,0.726041,138.305187
Alexander_Downer_,115404.857143,0.539785,106.015190
Alexander_Losyukov_,102219.333333,0.676053,112.967068
Alexander_Rumyantsev_,110678.400000,0.762044,112.094074
Alexandra_Stevenson_,122712.800000,0.673778,160.341751
Alexandra_Vodjanikova_,110030.000000,0.683946,155.285143
Ali_Abbas_,131604.000000,0.832066,109.496744
Ali_Khamenei_,139485.500000,0.828756,138.283056
Ali_Naimi_,106728.666667,0.527639,112.354797
Alice_Fisher_,113555.000000,0.560404,141.159050
