Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,111643.600000,0.637945,117.285797
Aaron_Sorkin_,111353.000000,0.990281,134.502254
Abdel_Nasser_Assidi_,0.000000,0.926961,173.091219
Abdoulaye_Wade_,103454.000000,0.708341,177.817476
Abdullah_,138393.333333,0.901385,139.142138
Abdullah_Gul_,110537.000000,0.794536,106.029186
Abdullah_al-Attiyah_,120342.000000,0.804538,139.405579
Abdullatif_Sener_,113078.666667,0.635296,131.036306
Abel_Pacheco_,81303.666667,0.961181,135.928497
Abid_Hamid_Mahmud_Al-Tikriti_,148041.500000,1.057695,177.240175
Adam_Sandler_,112322.000000,1.149120,115.315636
Adam_Scott_,137721.500000,0.907901,160.236601
Adel_Al-Jubeir_,132385.500000,0.944600,148.605263
Adolfo_Aguilar_Zinser_,114351.000000,0.942997,135.527828
Adolfo_Rodriguez_Saa_,112070.000000,1.074147,139.622929
Adrian_McPherson_,113437.666667,0.697758,196.333643
Adrian_Nastase_,125819.666667,0.873053,136.947464
Adrien_Brody_,143837.000000,1.139108,110.835224
Ahmad_Masood_,159271.000000,1.135786,126.417568
Ahmed_Chalabi_,122751.500000,0.832647,111.102367
Ahmet_Necdet_Sezer_,113439.500000,0.906134,129.487965
Ai_Sugiyama_,130792.500000,1.082963,135.279564
Aicha_El_Ouafi_,144767.000000,0.710125,151.231640
Aitor_Gonzalez_,153941.000000,0.971976,174.415798
Akbar_Hashemi_Rafsanjani_,101991.500000,0.884436,103.621855
Akhmed_Zakayev_,135487.333333,0.914053,128.857555
Al_Davis_,86886.000000,0.680195,149.343166
Al_Gore_,124022.500000,0.932689,139.250710
Al_Pacino_,84767.000000,0.892853,136.662241
Al_Sharpton_,119624.000000,0.958080,144.199070
Alan_Ball_,110383.000000,0.765427,123.351751
Alan_Greenspan_,141383.500000,1.141708,139.927574
Alan_Mulally_,125038.333333,0.659195,128.881737
Alastair_Campbell_,119869.333333,0.676010,129.317329
Albert_Costa_,136826.000000,0.808305,168.744465
Alberto_Fujimori_,118902.500000,0.771650,127.436626
Alberto_Ruiz_Gallardon_,116917.000000,1.015417,129.842609
Albrecht_Mentz_,130927.000000,1.003630,128.810230
Aldo_Paredes_,127557.000000,1.077415,148.938507
Alec_Baldwin_,147772.666667,0.871803,136.286203
Alejandro_Atchugarry_,173617.000000,0.995136,120.515060
Alejandro_Avila_,110270.166667,0.624273,160.752577
Alejandro_Toledo_,133562.000000,0.819723,130.838238
Aleksander_Kwasniewski_,132615.000000,0.705980,138.495747
Alex_Barros_,120349.000000,1.071809,109.311663
Alex_Penelas_,126850.000000,0.917848,106.856159
Alex_Sink_,104621.000000,0.709713,149.204126
Alexander_Downer_,112374.000000,0.884754,105.987396
Alexander_Losyukov_,112632.000000,0.744264,112.953375
Alexander_Rumyantsev_,115305.000000,0.997686,112.076696
Alexandra_Stevenson_,108910.000000,0.873084,160.331665
Alexandra_Vodjanikova_,145580.000000,1.145846,154.619347
Ali_Abbas_,95897.000000,0.729629,109.485830
Ali_Khamenei_,155923.000000,0.803562,122.181545
Ali_Naimi_,113922.000000,0.695350,112.338358
