Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,162964.000000,0.745683,131.931847
Aaron_Sorkin_,121043.500000,0.781130,134.499903
Abdel_Nasser_Assidi_,0.000000,0.674681,173.089493
Abdoulaye_Wade_,146691.500000,0.858955,186.112135
Abdullah_,136335.000000,0.498111,139.140928
Abdullah_Gul_,135317.000000,0.840688,106.023981
Abdullah_al-Attiyah_,172554.000000,1.183363,139.402538
Abdullatif_Sener_,114418.000000,0.838510,131.029659
Abel_Pacheco_,131294.500000,0.649898,135.924904
Abid_Hamid_Mahmud_Al-Tikriti_,118145.000000,0.612744,116.788994
Adam_Sandler_,110774.000000,0.473654,115.315048
Adam_Scott_,117504.000000,0.549049,160.235846
Adel_Al-Jubeir_,158883.000000,0.721585,148.605066
Adolfo_Aguilar_Zinser_,125709.333333,0.571830,135.522896
Adolfo_Rodriguez_Saa_,139313.333333,0.746072,139.616013
Adrian_McPherson_,119441.000000,0.835439,196.332287
Adrian_Nastase_,0.000000,0.725365,141.569557
Adrien_Brody_,135459.500000,0.496839,110.828009
Ahmad_Masood_,147277.000000,0.647913,126.413921
Ahmed_Chalabi_,108353.000000,0.707715,111.094732
Ahmet_Necdet_Sezer_,124749.500000,0.650719,129.484627
Ai_Sugiyama_,135924.000000,0.538644,118.316204
Aicha_El_Ouafi_,109917.000000,0.818116,151.227571
Aitor_Gonzalez_,157235.000000,0.930419,174.414541
Akbar_Hashemi_Rafsanjani_,124150.000000,0.567954,103.613384
Akhmed_Zakayev_,145811.500000,0.435049,128.852001
Al_Davis_,121400.000000,0.966225,140.224447
Al_Gore_,139543.000000,0.924732,139.250139
Al_Pacino_,145866.000000,0.409889,136.660803
Al_Sharpton_,143102.500000,0.550366,144.196018
Alan_Ball_,89392.000000,0.785117,123.616272
Alan_Greenspan_,145283.000000,0.585053,139.924944
Alan_Mulally_,147235.000000,0.613647,128.876354
Alastair_Campbell_,109057.000000,1.141476,129.309849
Albert_Costa_,158680.000000,0.681762,168.741140
Alberto_Fujimori_,138102.666667,0.694295,127.431004
Alberto_Ruiz_Gallardon_,0.000000,0.649197,129.842329
Albrecht_Mentz_,154125.000000,0.444574,128.809328
Aldo_Paredes_,73778.000000,0.825467,113.552752
Alec_Baldwin_,170123.500000,0.873678,103.861616
Alejandro_Atchugarry_,180027.000000,0.526742,120.512720
Alejandro_Avila_,122671.000000,0.746228,160.750584
Alejandro_Toledo_,124954.000000,0.509247,130.827229
Aleksander_Kwasniewski_,116073.500000,0.456971,117.052210
Alex_Barros_,0.000000,0.805901,146.776018
Alex_Penelas_,162965.000000,0.489081,93.910828
Alex_Sink_,128784.000000,0.678105,118.594913
Alexander_Downer_,124407.000000,0.500681,98.388721
Alexander_Losyukov_,127500.000000,0.785121,112.948948
Alexander_Rumyantsev_,132897.500000,0.615651,105.973883
Alexandra_Stevenson_,117350.500000,0.644319,160.328033
Alexandra_Vodjanikova_,114821.000000,0.481096,155.271099
Ali_Abbas_,163348.000000,0.829824,91.198662
Ali_Khamenei_,0.000000,1.177438,122.170530
Ali_Naimi_,114828.000000,0.585309,135.246677
Alice_Fisher_,135428.000000,0.601991,141.145082
