Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,100824.000000,0.689091,117.278366
Aaron_Sorkin_,100778.000000,0.729169,134.498056
Abdel_Nasser_Assidi_,125810.000000,0.688765,158.802675
Abdoulaye_Wade_,120793.000000,0.664779,177.813246
Abdullah_,61956.000000,0.427225,139.139565
Abdullah_Gul_,149195.000000,0.614258,128.522966
Abdullah_al-Attiyah_,154735.000000,0.902129,163.379124
Abdullatif_Sener_,158546.333333,0.543415,124.876987
Abel_Pacheco_,100011.000000,0.755497,137.025274
Abid_Hamid_Mahmud_Al-Tikriti_,131665.000000,0.810237,177.239374
Adam_Sandler_,117001.333333,0.872423,115.314543
Adam_Scott_,129048.000000,0.851343,145.648623
Adel_Al-Jubeir_,99397.000000,0.592612,148.604465
Adolfo_Aguilar_Zinser_,134364.000000,0.637152,135.519888
Adolfo_Rodriguez_Saa_,99848.666667,0.798798,139.610905
Adrian_McPherson_,149414.500000,0.671030,155.075905
Adrian_Nastase_,79185.500000,0.523113,136.946100
Adrien_Brody_,120100.000000,0.821470,110.821180
Ahmad_Masood_,103050.666667,0.488235,149.199575
Ahmed_Chalabi_,158737.000000,0.581819,111.087114
Ahmet_Necdet_Sezer_,127115.000000,0.941649,129.482090
Ai_Sugiyama_,159662.000000,0.703844,130.553333
Aicha_El_Ouafi_,118984.666667,0.547606,130.813179
Aitor_Gonzalez_,142892.000000,0.891442,174.413504
Akbar_Hashemi_Rafsanjani_,117299.000000,0.706062,103.610895
Akhmed_Zakayev_,110152.666667,0.659807,128.848671
Al_Davis_,98306.666667,0.690761,149.338741
Al_Gore_,123181.000000,0.940527,139.248940
Al_Pacino_,117603.000000,0.622798,136.660402
Al_Sharpton_,123081.500000,0.608095,144.192814
Alan_Ball_,131052.000000,0.748172,123.335930
Alan_Greenspan_,100635.000000,0.819504,147.619539
Alan_Mulally_,71667.000000,0.560954,128.872307
Alastair_Campbell_,137257.000000,0.873223,129.303776
Albert_Costa_,99071.250000,0.432269,168.824324
Alberto_Fujimori_,125627.000000,0.670471,127.427284
Alberto_Ruiz_Gallardon_,122231.666667,0.575246,106.292875
Albrecht_Mentz_,138255.000000,0.929923,128.808733
Aldo_Paredes_,115022.000000,0.594857,113.550005
Alec_Baldwin_,124738.000000,1.091889,103.859205
Alejandro_Atchugarry_,92372.000000,0.711862,120.342550
Alejandro_Avila_,108336.500000,0.750758,160.748920
Alejandro_Toledo_,116397.000000,0.590299,130.819675
Aleksander_Kwasniewski_,130553.666667,0.845096,138.491156
Alex_Barros_,128136.000000,0.627679,109.294001
Alex_Penelas_,113091.000000,0.770583,106.849539
Alex_Sink_,127553.000000,0.761329,118.588779
Alexander_Downer_,115681.666667,0.766496,105.961050
Alexander_Losyukov_,58438.000000,0.477064,112.945059
Alexander_Rumyantsev_,162922.000000,0.704290,105.971315
Alexandra_Stevenson_,117022.500000,0.723348,160.326719
Alexandra_Vodjanikova_,87886.000000,0.630776,155.267015
Ali_Abbas_,138313.000000,0.711136,91.196516
Ali_Khamenei_,77034.000000,0.902318,138.255650
Ali_Naimi_,123280.750000,0.681271,112.328121
