Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,126899.000000,0.863298,117.269796
Aaron_Sorkin_,145695.666667,0.902638,134.492897
Abdel_Nasser_Assidi_,149163.000000,0.759173,158.799053
Abdoulaye_Wade_,117906.000000,0.664673,196.948734
Abdullah_,150244.750000,0.497491,139.136431
Abdullah_Gul_,125022.000000,0.742895,106.007206
Abdullah_al-Attiyah_,134721.000000,0.738324,139.390810
Abdullatif_Sener_,117986.000000,0.832065,131.014280
Abel_Pacheco_,124466.500000,1.092405,135.920374
Abid_Hamid_Mahmud_Al-Tikriti_,116927.000000,0.835003,177.237854
Adam_Sandler_,114043.000000,0.930573,115.313332
Adam_Scott_,140051.500000,0.887152,145.645090
Adel_Al-Jubeir_,87712.500000,0.723979,148.603394
Adolfo_Aguilar_Zinser_,138280.666667,0.718087,135.507502
Adolfo_Rodriguez_Saa_,104134.000000,0.749329,90.613325
Adrian_McPherson_,86671.000000,1.110213,196.328348
Adrian_Nastase_,128747.000000,0.641710,136.944803
Adrien_Brody_,129728.000000,0.616482,110.806229
Ahmad_Masood_,153535.000000,0.592319,126.399994
Ahmed_Chalabi_,143197.000000,0.508508,111.078161
Ahmet_Necdet_Sezer_,101548.000000,0.639096,135.089142
Ai_Sugiyama_,137783.000000,0.738780,136.152653
Aicha_El_Ouafi_,128112.333333,1.029743,151.215937
Aitor_Gonzalez_,124652.000000,0.731907,174.410498
Akbar_Hashemi_Rafsanjani_,111914.000000,0.695937,103.607937
Akhmed_Zakayev_,106861.750000,0.778160,128.839865
Al_Davis_,0.000000,0.718698,140.208576
Al_Gore_,128397.166667,0.807505,139.246468
Al_Pacino_,153640.000000,0.812498,136.659851
Al_Sharpton_,137007.000000,0.608251,164.887777
Alan_Ball_,144701.500000,0.845018,123.323055
Alan_Greenspan_,47736.000000,0.548181,139.920815
Alan_Mulally_,125662.000000,0.752255,128.860914
Alastair_Campbell_,156841.000000,0.898029,129.288561
Albert_Costa_,122334.000000,0.899145,168.731739
Alberto_Fujimori_,0.000000,0.818195,136.555368
Alberto_Ruiz_Gallardon_,126090.000000,0.638786,106.271906
Albrecht_Mentz_,164095.000000,0.936928,128.807041
Aldo_Paredes_,0.000000,0.580540,148.927952
Alec_Baldwin_,142983.000000,1.082039,103.849361
Alejandro_Atchugarry_,159705.500000,0.593400,120.506794
Alejandro_Avila_,125007.000000,1.010727,160.744944
Alejandro_Toledo_,127786.000000,0.644512,130.801836
Aleksander_Kwasniewski_,114944.250000,0.543813,117.050701
Alex_Barros_,117278.750000,0.584022,109.265039
Alex_Penelas_,130125.000000,0.860480,106.838339
Alex_Sink_,126479.000000,0.865316,118.575884
Alexander_Downer_,129335.000000,0.576976,98.383299
Alexander_Losyukov_,186398.000000,0.574515,112.932652
Alexander_Rumyantsev_,85216.500000,0.777266,105.964743
Alexandra_Stevenson_,139016.000000,0.917793,160.317120
Alexandra_Vodjanikova_,138523.000000,0.710995,154.612682
Ali_Abbas_,121269.750000,0.952610,109.471333
Ali_Khamenei_,161818.500000,0.837521,131.918343
Ali_Naimi_,133575.000000,0.944318,112.311951
Alice_Fisher_,162168.500000,0.679276,141.133617
