Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,128657.000000,0.695115,94.633308
Aaron_Sorkin_,127121.500000,0.757171,134.508137
Abdel_Nasser_Assidi_,118814.000000,0.492952,158.809692
Abdoulaye_Wade_,137476.000000,0.922415,186.119484
Abdullah_,139766.000000,0.665392,139.146486
Abdullah_Gul_,121599.000000,0.659423,128.550394
Abdullah_al-Attiyah_,105345.000000,0.711552,163.391541
Abdullatif_Sener_,128823.000000,0.844913,131.049240
Abel_Pacheco_,122319.500000,0.637703,135.933348
Abid_Hamid_Mahmud_Al-Tikriti_,137346.000000,0.783509,116.792278
Adam_Sandler_,83771.000000,0.461708,115.317030
Adam_Scott_,110390.000000,0.751771,160.238173
Adel_Al-Jubeir_,158251.000000,0.704290,168.612762
Adolfo_Aguilar_Zinser_,81998.500000,0.606774,135.540171
Adolfo_Rodriguez_Saa_,135335.000000,0.569470,139.636860
Adrian_McPherson_,150679.500000,1.009853,155.090910
Adrian_Nastase_,93561.000000,0.618726,136.949358
Adrien_Brody_,128471.000000,0.548483,110.854416
Ahmad_Masood_,134628.000000,0.758086,149.205284
Ahmed_Chalabi_,159982.000000,0.877790,111.118620
Ahmet_Necdet_Sezer_,101709.000000,0.575905,129.495161
Ai_Sugiyama_,116713.000000,0.625350,135.283178
Aicha_El_Ouafi_,133475.000000,0.857658,151.242008
Aitor_Gonzalez_,146081.000000,1.000154,174.419083
Akbar_Hashemi_Rafsanjani_,105384.000000,0.615828,103.627571
Akhmed_Zakayev_,162466.000000,0.729121,125.169506
Al_Davis_,123764.000000,0.873655,149.352901
Al_Gore_,145505.666667,0.793644,121.434830
Al_Pacino_,99576.000000,0.428867,136.663145
Al_Sharpton_,143372.000000,0.757947,164.908440
Alan_Ball_,140983.000000,0.688166,123.633909
Alan_Greenspan_,89675.000000,0.757468,139.930647
Alan_Mulally_,125321.000000,0.718005,110.279787
Alastair_Campbell_,115367.000000,0.761618,86.087418
Albert_Costa_,113850.000000,0.841013,168.752735
Alberto_Fujimori_,129734.000000,0.619075,127.449715
Alberto_Ruiz_Gallardon_,123314.000000,0.637031,106.346043
Albrecht_Mentz_,116452.000000,0.658182,128.812145
Aldo_Paredes_,0.000000,1.010838,148.944553
Alec_Baldwin_,85195.500000,0.613086,136.308628
Alejandro_Atchugarry_,109070.500000,0.677325,120.520521
Alejandro_Avila_,139640.000000,0.809018,160.757494
Alejandro_Toledo_,80809.000000,0.528133,94.100271
Aleksander_Kwasniewski_,94277.000000,0.560551,117.054485
Alex_Barros_,133526.500000,0.557443,109.336201
Alex_Penelas_,105181.000000,0.534615,106.868305
Alex_Sink_,136020.000000,0.718714,149.212690
Alexander_Downer_,148801.000000,0.525529,106.015673
Alexander_Losyukov_,114621.333333,0.599722,140.578939
Alexander_Rumyantsev_,120104.000000,0.717836,112.092800
Alexandra_Stevenson_,132325.333333,0.676794,160.339890
Alexandra_Vodjanikova_,0.000000,0.612993,155.284929
Ali_Abbas_,116725.000000,0.745037,109.496172
Ali_Khamenei_,0.000000,1.092735,122.204115
Ali_Naimi_,137968.000000,0.501937,135.257385
Alice_Fisher_,117774.500000,0.658915,141.157972
