Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,127091.000000,0.725544,117.283016
Aaron_Sorkin_,128362.000000,0.927335,134.500687
Abdel_Nasser_Assidi_,0.000000,0.681486,173.089861
Abdoulaye_Wade_,110428.000000,0.932516,177.816500
Abdullah_,132566.000000,0.434519,160.612782
Abdullah_Gul_,149323.000000,1.048411,106.026312
Abdullah_al-Attiyah_,107797.333333,0.731081,163.382809
Abdullatif_Sener_,148799.500000,1.008710,131.031082
Abel_Pacheco_,115664.000000,0.458711,135.924803
Abid_Hamid_Mahmud_Al-Tikriti_,108112.000000,0.858495,177.239941
Adam_Sandler_,127406.333333,0.522843,115.315207
Adam_Scott_,111832.000000,0.490888,160.235947
Adel_Al-Jubeir_,133767.000000,0.849729,148.605167
Adolfo_Aguilar_Zinser_,161834.000000,0.811709,135.525595
Adolfo_Rodriguez_Saa_,136205.000000,1.009803,139.617571
Adrian_McPherson_,0.000000,1.016038,155.079851
Adrian_Nastase_,136753.000000,1.306315,141.572617
Adrien_Brody_,159761.000000,0.735479,124.414278
Ahmad_Masood_,101962.500000,0.973948,126.415518
Ahmed_Chalabi_,116902.000000,1.200212,111.094490
Ahmet_Necdet_Sezer_,111187.000000,0.307005,129.485207
Ai_Sugiyama_,157965.000000,1.155206,130.561035
Aicha_El_Ouafi_,131646.000000,0.569925,151.228451
Aitor_Gonzalez_,112134.000000,1.148632,174.415001
Akbar_Hashemi_Rafsanjani_,90327.000000,0.661617,103.613443
Akhmed_Zakayev_,105672.000000,0.554026,128.853354
Al_Davis_,112707.000000,0.922327,149.343105
Al_Gore_,110928.500000,0.746635,139.250475
Al_Pacino_,117820.000000,0.503222,136.660913
Al_Sharpton_,136830.000000,0.986476,144.197428
Alan_Ball_,78438.000000,0.827625,123.343878
Alan_Greenspan_,130999.000000,0.590039,147.621525
Alan_Mulally_,98560.000000,0.564465,110.262280
Alastair_Campbell_,114616.000000,0.957901,129.312305
Albert_Costa_,134763.500000,0.616524,168.741827
Alberto_Fujimori_,80741.000000,0.741683,127.432833
Alberto_Ruiz_Gallardon_,0.000000,0.476871,129.842396
Albrecht_Mentz_,96995.500000,0.561307,128.809578
Aldo_Paredes_,0.000000,1.252827,148.936909
Alec_Baldwin_,141605.000000,0.766952,136.273291
Alejandro_Atchugarry_,152163.000000,0.895194,120.513081
Alejandro_Avila_,104545.000000,0.594398,144.156223
Alejandro_Toledo_,131642.000000,0.741241,130.829664
Aleksander_Kwasniewski_,114808.000000,0.491140,138.493952
Alex_Barros_,139998.500000,0.717801,146.776552
Alex_Penelas_,97997.000000,0.475399,106.855034
Alex_Sink_,127243.000000,0.754787,118.596226
Alexander_Downer_,98103.000000,0.434137,105.973749
Alexander_Losyukov_,118967.000000,0.565027,140.570606
Alexander_Rumyantsev_,118799.000000,0.702015,105.974714
Alexandra_Stevenson_,148691.000000,0.634024,160.330694
Alexandra_Vodjanikova_,140441.500000,0.836077,154.617191
Ali_Abbas_,106549.750000,0.571517,109.483843
Ali_Khamenei_,86865.500000,0.855648,138.263071
Ali_Naimi_,122249.400000,0.567884,112.335077
Alice_Fisher_,124428.000000,0.957348,141.146835
