Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,108844.000000,0.679028,117.298101
Aaron_Sorkin_,122068.000000,0.778531,134.509117
Abdel_Nasser_Assidi_,148013.000000,0.748986,158.810360
Abdoulaye_Wade_,102774.333333,0.973785,177.825245
Abdullah_,149508.000000,0.987058,139.146976
Abdullah_Gul_,150238.000000,1.078623,106.045444
Abdullah_al-Attiyah_,104694.000000,0.498607,163.392384
Abdullatif_Sener_,109634.000000,0.936846,124.895920
Abel_Pacheco_,120883.400000,0.352398,135.935295
Abid_Hamid_Mahmud_Al-Tikriti_,136437.000000,0.969957,116.792637
Adam_Sandler_,129678.000000,0.518539,115.317314
Adam_Scott_,69947.000000,0.796959,145.659861
Adel_Al-Jubeir_,130880.000000,0.836513,148.606766
Adolfo_Aguilar_Zinser_,121054.571429,0.692422,135.542183
Adolfo_Rodriguez_Saa_,0.000000,0.848620,90.640696
Adrian_McPherson_,130916.500000,1.010729,155.092337
Adrian_Nastase_,90910.000000,0.841054,136.949602
Adrien_Brody_,139266.000000,0.829801,110.857428
Ahmad_Masood_,136361.000000,1.034637,149.205647
Ahmed_Chalabi_,91325.000000,1.174344,111.122156
Ahmet_Necdet_Sezer_,106708.750000,0.517064,129.496691
Ai_Sugiyama_,119824.000000,1.009031,136.185495
Aicha_El_Ouafi_,102437.000000,0.823437,122.088379
Aitor_Gonzalez_,0.000000,1.060311,170.295168
Akbar_Hashemi_Rafsanjani_,112267.000000,0.879899,103.632669
Akhmed_Zakayev_,124125.333333,0.686321,128.870050
Al_Davis_,65505.000000,0.917419,140.244192
Al_Gore_,118808.000000,0.850161,139.254509
Al_Pacino_,117293.200000,0.470216,136.663902
Al_Sharpton_,66384.000000,0.875572,144.210531
Alan_Ball_,101217.500000,0.766269,123.373428
Alan_Greenspan_,122955.000000,1.050525,139.931963
Alan_Mulally_,99168.000000,0.705776,128.896721
Alastair_Campbell_,102454.666667,0.956080,129.339417
Albert_Costa_,124109.000000,0.531092,168.754171
Alberto_Fujimori_,94606.500000,0.809761,127.452364
Alberto_Ruiz_Gallardon_,121764.000000,1.029612,106.351913
Albrecht_Mentz_,110507.000000,0.502361,128.812498
Aldo_Paredes_,94318.000000,1.010661,113.565977
Alec_Baldwin_,106196.333333,1.030444,136.314709
Alejandro_Atchugarry_,92811.333333,0.594320,120.365211
Alejandro_Avila_,117975.000000,0.632514,160.758398
Alejandro_Toledo_,109536.666667,0.765625,130.864717
Aleksander_Kwasniewski_,125722.000000,0.547345,138.502798
Alex_Barros_,95900.500000,0.871778,109.340446
Alex_Penelas_,117903.800000,0.502048,106.869387
Alex_Sink_,117220.800000,0.683416,149.214640
Alexander_Downer_,107048.000000,0.678278,106.021719
Alexander_Losyukov_,127411.000000,1.018123,112.967148
Alexander_Rumyantsev_,132398.000000,0.884231,112.094519
Alexandra_Stevenson_,153707.000000,0.644931,160.341368
Alexandra_Vodjanikova_,134083.500000,0.993373,154.624882
Ali_Abbas_,80319.000000,0.498941,109.497395
Ali_Khamenei_,133825.000000,1.046469,122.208256
Ali_Naimi_,90593.250000,0.498563,112.354856
Alice_Fisher_,89748.500000,0.863712,141.159430
