Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,97923.000000,0.793465,117.275587
Aaron_Sorkin_,124530.000000,0.800391,134.496532
Abdel_Nasser_Assidi_,147550.000000,0.970779,158.801609
Abdoulaye_Wade_,136727.000000,0.700478,177.810774
Abdullah_,141804.000000,0.960899,101.804472
Abdullah_Gul_,106690.000000,0.459569,106.015463
Abdullah_al-Attiyah_,0.000000,1.161370,145.207165
Abdullatif_Sener_,0.000000,0.959729,124.876774
Abel_Pacheco_,125942.500000,0.766777,138.139032
Abid_Hamid_Mahmud_Al-Tikriti_,0.000000,1.101191,156.623564
Adam_Sandler_,109372.000000,0.850025,133.493376
Adam_Scott_,0.000000,1.000936,145.648321
Adel_Al-Jubeir_,151129.500000,0.963821,148.604172
Adolfo_Aguilar_Zinser_,183502.000000,0.842906,135.515114
Adolfo_Rodriguez_Saa_,130303.000000,0.976315,139.609617
Adrian_McPherson_,154889.000000,0.979357,196.330404
Adrian_Nastase_,0.000000,0.781307,141.561897
Adrien_Brody_,138357.500000,1.120749,110.817951
Ahmad_Masood_,161379.000000,0.690159,149.198856
Ahmed_Chalabi_,102913.000000,0.534200,111.088598
Ahmet_Necdet_Sezer_,140419.000000,1.082669,129.481012
Ai_Sugiyama_,124916.500000,0.644515,130.554125
Aicha_El_Ouafi_,106362.000000,1.119700,151.222395
Aitor_Gonzalez_,0.000000,0.565629,170.284496
Akbar_Hashemi_Rafsanjani_,92294.000000,1.035811,103.610661
Akhmed_Zakayev_,129467.500000,0.652374,125.153351
Al_Davis_,121727.500000,0.602295,149.333118
Al_Gore_,101116.000000,1.070726,139.247826
Al_Pacino_,0.000000,0.721504,122.288813
Al_Sharpton_,105244.000000,0.959855,164.893637
Alan_Ball_,155705.500000,0.961727,123.334719
Alan_Greenspan_,170160.000000,1.081470,147.617210
Alan_Mulally_,113564.000000,0.853326,128.869476
Alastair_Campbell_,93846.500000,0.791743,129.299393
Albert_Costa_,134275.000000,1.182393,168.737070
Alberto_Fujimori_,0.000000,0.767224,136.562359
Alberto_Ruiz_Gallardon_,0.000000,1.151946,129.841860
Albrecht_Mentz_,114143.000000,0.668128,117.686735
Aldo_Paredes_,101296.000000,0.669933,113.547455
Alec_Baldwin_,136502.000000,0.875161,136.266420
Alejandro_Atchugarry_,186010.000000,0.949761,120.509863
Alejandro_Avila_,98383.000000,0.857840,144.151184
Alejandro_Toledo_,121417.000000,1.184254,94.083174
Aleksander_Kwasniewski_,170779.000000,1.122939,138.490017
Alex_Barros_,121405.000000,0.827394,109.286158
Alex_Penelas_,165702.500000,0.995718,93.901213
Alex_Sink_,0.000000,1.069881,138.289112
Alexander_Downer_,0.000000,1.098167,117.469740
Alexander_Losyukov_,132246.000000,0.552550,112.942179
Alexander_Rumyantsev_,166407.000000,1.027648,105.969606
Alexandra_Stevenson_,128895.000000,0.994215,103.030449
Alexandra_Vodjanikova_,0.000000,0.804068,155.266613
Ali_Abbas_,100250.000000,1.226294,109.476540
Ali_Khamenei_,112544.000000,0.839259,131.926184
Ali_Naimi_,119873.500000,1.068940,112.324184
Alice_Fisher_,105133.000000,0.866684,139.591455
