Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,102779.000000,0.777924,117.289808
Aaron_Sorkin_,103007.000000,0.743354,134.504423
Abdel_Nasser_Assidi_,129279.000000,0.555967,158.807226
Abdoulaye_Wade_,127428.000000,0.741361,177.820894
Abdullah_,125527.500000,0.395516,139.143801
Abdullah_Gul_,113816.000000,0.667581,128.541750
Abdullah_al-Attiyah_,99795.000000,0.961460,163.387367
Abdullatif_Sener_,144255.000000,0.464623,124.885845
Abel_Pacheco_,116434.500000,1.029169,135.928204
Abid_Hamid_Mahmud_Al-Tikriti_,93517.000000,0.529886,116.791023
Adam_Sandler_,109182.000000,0.760103,115.316227
Adam_Scott_,0.000000,0.856449,145.654627
Adel_Al-Jubeir_,112570.333333,0.628720,148.605988
Adolfo_Aguilar_Zinser_,126530.333333,0.557114,135.533817
Adolfo_Rodriguez_Saa_,90946.666667,0.682783,139.626770
Adrian_McPherson_,0.000000,0.758010,155.085539
Adrian_Nastase_,105741.250000,0.412426,136.948027
Adrien_Brody_,121670.000000,0.660255,110.841860
Ahmad_Masood_,96402.000000,0.524986,149.203335
Ahmed_Chalabi_,109462.000000,0.515768,111.105463
Ahmet_Necdet_Sezer_,122161.000000,0.705859,135.108788
Ai_Sugiyama_,131301.000000,0.947449,136.846663
Aicha_El_Ouafi_,88955.400000,0.537849,130.816433
Aitor_Gonzalez_,105574.750000,0.846393,174.417006
Akbar_Hashemi_Rafsanjani_,129038.000000,0.557103,103.617968
Akhmed_Zakayev_,100713.333333,0.526381,128.860235
Al_Davis_,105594.000000,0.532408,149.349142
Al_Gore_,131135.000000,0.940329,139.252344
Al_Pacino_,91530.000000,0.620813,136.661863
Al_Sharpton_,124835.000000,0.609060,144.203741
Alan_Ball_,151961.000000,0.826918,123.355549
Alan_Greenspan_,125924.000000,0.462063,144.900591
Alan_Mulally_,100737.500000,0.612184,128.886715
Alastair_Campbell_,153493.000000,0.898083,129.324934
Albert_Costa_,109259.000000,0.728538,159.910818
Alberto_Fujimori_,101828.000000,0.800742,127.440992
Alberto_Ruiz_Gallardon_,0.000000,0.933000,129.842880
Albrecht_Mentz_,0.000000,0.723211,117.705755
Aldo_Paredes_,161424.000000,0.728446,148.941006
Alec_Baldwin_,130858.000000,1.039201,103.869608
Alejandro_Atchugarry_,158153.000000,0.502037,120.516455
Alejandro_Avila_,130489.000000,0.840165,160.754133
Alejandro_Toledo_,112437.333333,0.542349,130.844341
Aleksander_Kwasniewski_,77361.000000,0.455205,117.053303
Alex_Barros_,122132.000000,0.915618,146.780457
Alex_Penelas_,114950.500000,0.727105,106.862093
Alex_Sink_,103676.000000,0.843691,149.207037
Alexander_Downer_,114232.500000,0.724510,123.860949
Alexander_Losyukov_,90583.000000,0.641436,112.958784
Alexander_Rumyantsev_,117611.500000,0.679890,105.979284
Alexandra_Stevenson_,0.000000,0.513725,124.370472
Alexandra_Vodjanikova_,141936.000000,0.485197,154.620066
Ali_Abbas_,115013.000000,1.033934,109.489847
Ali_Khamenei_,94729.000000,0.822084,138.273209
Ali_Naimi_,121691.400000,0.807709,112.344433
Alice_Fisher_,118524.000000,0.679251,141.152611
