Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,94626.000000,0.864654,117.277454
Aaron_Sorkin_,115472.500000,0.909000,134.497604
Abdel_Nasser_Assidi_,150377.000000,0.685683,158.802330
Abdoulaye_Wade_,108146.000000,1.073326,177.811974
Abdullah_,140665.500000,0.984093,139.139061
Abdullah_Gul_,149186.000000,1.366793,106.017775
Abdullah_al-Attiyah_,118020.000000,0.620502,163.376802
Abdullatif_Sener_,119971.000000,0.852934,124.878286
Abel_Pacheco_,125585.333333,0.409362,135.924097
Abid_Hamid_Mahmud_Al-Tikriti_,96374.000000,0.938981,177.238852
Adam_Sandler_,134331.000000,0.613972,102.117197
Adam_Scott_,126576.000000,0.975240,145.649408
Adel_Al-Jubeir_,172212.000000,0.822353,135.183836
Adolfo_Aguilar_Zinser_,124123.750000,0.804811,135.517050
Adolfo_Rodriguez_Saa_,117131.000000,0.849859,139.612154
Adrian_McPherson_,0.000000,1.152875,155.076075
Adrian_Nastase_,112668.000000,0.834626,136.946222
Adrien_Brody_,109015.333333,0.693179,124.411152
Ahmad_Masood_,113498.000000,0.727678,126.408968
Ahmed_Chalabi_,169223.000000,1.277006,111.091694
Ahmet_Necdet_Sezer_,106577.000000,0.403863,129.482405
Ai_Sugiyama_,98231.333333,0.536419,135.276592
Aicha_El_Ouafi_,87046.000000,0.670399,130.812922
Aitor_Gonzalez_,142462.000000,1.227684,174.413260
Akbar_Hashemi_Rafsanjani_,123821.333333,0.759395,103.611954
Akhmed_Zakayev_,101625.666667,0.594668,128.848661
Al_Davis_,0.000000,1.003019,140.220152
Al_Gore_,96292.000000,0.554993,139.248518
Al_Pacino_,113697.833333,0.338445,136.660372
Al_Sharpton_,120231.000000,0.827484,144.191469
Alan_Ball_,113908.500000,0.846176,123.338057
Alan_Greenspan_,110642.000000,0.968216,139.923273
Alan_Mulally_,81263.000000,0.782370,128.871531
Alastair_Campbell_,178781.000000,1.187003,129.302502
Albert_Costa_,149030.000000,0.603245,168.738520
Alberto_Fujimori_,102860.000000,0.634433,127.425934
Alberto_Ruiz_Gallardon_,121844.000000,0.934446,106.296408
Albrecht_Mentz_,109919.000000,0.518368,128.808577
Aldo_Paredes_,140259.000000,1.115622,113.549135
Alec_Baldwin_,123988.500000,0.422554,136.712931
Alejandro_Atchugarry_,159356.000000,0.784759,120.510902
Alejandro_Avila_,125789.500000,0.761954,144.152552
Alejandro_Toledo_,74649.500000,0.610651,130.821022
Aleksander_Kwasniewski_,115431.000000,0.551507,138.491081
Alex_Barros_,115342.000000,0.853023,109.289932
Alex_Penelas_,106120.666667,0.441587,106.847326
Alex_Sink_,139986.000000,0.597222,149.196714
Alexander_Downer_,71335.000000,0.772186,98.387104
Alexander_Losyukov_,110622.000000,0.549033,140.565262
Alexander_Rumyantsev_,108760.000000,0.630982,105.971027
Alexandra_Stevenson_,86526.000000,0.736841,160.323368
Alexandra_Vodjanikova_,116990.000000,0.747784,154.615393
Ali_Abbas_,115401.250000,0.513919,109.478462
Ali_Khamenei_,100835.000000,0.982062,138.251135
Ali_Naimi_,125706.250000,0.584893,112.326643
Alice_Fisher_,0.000000,0.920814,139.594873
