Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,96123.000000,0.802735,131.924658
Aaron_Sorkin_,124762.333333,0.904595,134.495632
Abdel_Nasser_Assidi_,0.000000,0.907204,173.087128
Abdoulaye_Wade_,107481.333333,0.905732,177.809462
Abdullah_,155895.000000,1.062971,139.137806
Abdullah_Gul_,116976.000000,0.745319,116.015850
Abdullah_al-Attiyah_,120230.000000,0.801414,163.374950
Abdullatif_Sener_,156398.500000,0.951940,124.875711
Abel_Pacheco_,106525.333333,0.843044,135.922419
Abid_Hamid_Mahmud_Al-Tikriti_,134118.000000,0.720860,177.238424
Adam_Sandler_,99736.000000,0.949702,115.314039
Adam_Scott_,133703.000000,0.964724,160.234863
Adel_Al-Jubeir_,142229.000000,1.010549,135.182760
Adolfo_Aguilar_Zinser_,126789.666667,1.017680,135.513540
Adolfo_Rodriguez_Saa_,0.000000,0.875366,90.617956
Adrian_McPherson_,97752.000000,0.647174,155.073147
Adrian_Nastase_,101127.000000,1.146826,141.559679
Adrien_Brody_,135135.000000,0.923392,110.814972
Ahmad_Masood_,68463.000000,1.046439,126.405283
Ahmed_Chalabi_,121727.000000,1.131316,111.085798
Ahmet_Necdet_Sezer_,108138.000000,0.718723,129.479979
Ai_Sugiyama_,154546.000000,1.173740,136.158287
Aicha_El_Ouafi_,141720.000000,0.490164,151.220776
Aitor_Gonzalez_,0.000000,1.021975,170.283382
Akbar_Hashemi_Rafsanjani_,104091.000000,0.876450,103.610142
Akhmed_Zakayev_,110661.000000,0.833016,128.845026
Al_Davis_,104824.000000,0.590949,140.215401
Al_Gore_,85906.333333,0.652316,139.247644
Al_Pacino_,99938.500000,0.783808,136.660225
Al_Sharpton_,144532.000000,0.604344,168.745481
Alan_Ball_,91833.400000,0.421364,123.331562
Alan_Greenspan_,135596.000000,1.242089,139.922272
Alan_Mulally_,0.000000,0.810965,110.249317
Alastair_Campbell_,130316.500000,0.701701,129.297201
Albert_Costa_,140081.000000,1.073826,168.822512
Alberto_Fujimori_,0.000000,0.846319,136.560848
Alberto_Ruiz_Gallardon_,125181.000000,1.011232,106.286072
Albrecht_Mentz_,126712.000000,0.953384,128.807955
Aldo_Paredes_,83644.000000,0.768120,113.546347
Alec_Baldwin_,128127.000000,0.955495,136.262308
Alejandro_Atchugarry_,123772.000000,1.021709,120.509130
Alejandro_Avila_,139601.000000,0.593441,144.150156
Alejandro_Toledo_,134146.000000,0.863424,130.812897
Aleksander_Kwasniewski_,126122.000000,0.727571,116.645933
Alex_Barros_,0.000000,0.794694,146.771788
Alex_Penelas_,110774.000000,0.695258,106.843733
Alex_Sink_,147384.000000,0.579654,138.287661
Alexander_Downer_,110348.000000,0.758328,117.460423
Alexander_Losyukov_,144175.000000,0.915334,112.939631
Alexander_Rumyantsev_,143102.000000,0.755582,112.059690
Alexandra_Stevenson_,126939.000000,1.023133,124.342875
Alexandra_Vodjanikova_,0.000000,0.859263,155.265097
Ali_Abbas_,0.000000,1.032078,91.193565
Ali_Khamenei_,157342.000000,0.863965,138.247599
Ali_Naimi_,106045.333333,0.587337,112.320635
Alice_Fisher_,0.000000,1.130045,139.588354
