Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,148037.000000,1.064097,117.287560
Aaron_Sorkin_,0.000000,0.640731,117.390553
Abdel_Nasser_Assidi_,110777.000000,0.923544,173.091660
Abdoulaye_Wade_,0.000000,0.548136,196.951050
Abdullah_,0.000000,0.996135,152.882721
Abdullah_Gul_,95444.000000,0.641672,116.055004
Abdullah_al-Attiyah_,109072.500000,0.968547,139.407719
Abdullatif_Sener_,148139.000000,0.948893,131.038551
Abel_Pacheco_,122721.000000,0.870558,135.928587
Abid_Hamid_Mahmud_Al-Tikriti_,0.000000,0.570027,156.625967
Adam_Sandler_,142607.000000,1.077708,102.127813
Adam_Scott_,94636.000000,0.841114,160.236771
Adel_Al-Jubeir_,151628.000000,0.787962,148.605623
Adolfo_Aguilar_Zinser_,149060.000000,0.723556,135.530088
Adolfo_Rodriguez_Saa_,146886.000000,0.547095,139.625681
Adrian_McPherson_,155351.000000,0.988867,155.084318
Adrian_Nastase_,132507.000000,0.502795,136.947794
Adrien_Brody_,132452.000000,0.451544,110.839010
Ahmad_Masood_,111574.000000,0.676598,149.202654
Ahmed_Chalabi_,135819.000000,0.490941,115.825624
Ahmet_Necdet_Sezer_,153899.000000,0.761134,135.107025
Ai_Sugiyama_,143085.500000,0.695127,130.571844
Aicha_El_Ouafi_,145421.000000,0.787222,122.075132
Aitor_Gonzalez_,101006.000000,0.955280,174.416307
Akbar_Hashemi_Rafsanjani_,0.000000,0.656299,118.411531
Akhmed_Zakayev_,135844.000000,0.740195,125.162434
Al_Davis_,111317.000000,1.009856,140.232380
Al_Gore_,167972.000000,0.884790,139.251446
Al_Pacino_,0.000000,1.086040,122.298206
Al_Sharpton_,0.000000,0.579909,142.672842
Alan_Ball_,0.000000,0.898839,123.622311
Alan_Greenspan_,135729.000000,0.526206,139.927078
Alan_Mulally_,0.000000,0.817607,110.268404
Alastair_Campbell_,107512.500000,1.319325,129.320955
Albert_Costa_,131027.000000,1.008072,168.746223
Alberto_Fujimori_,123934.000000,0.854988,136.576378
Alberto_Ruiz_Gallardon_,124424.000000,0.491402,106.323500
Albrecht_Mentz_,0.000000,1.123138,117.702913
Aldo_Paredes_,137457.000000,0.753044,113.557398
Alec_Baldwin_,119439.500000,1.177160,103.865797
Alejandro_Atchugarry_,0.000000,0.784267,120.352772
Alejandro_Avila_,0.000000,0.649596,148.382010
Alejandro_Toledo_,140521.000000,0.593256,130.842340
Aleksander_Kwasniewski_,149307.000000,0.399349,117.053015
Alex_Barros_,176879.000000,0.487468,109.317282
Alex_Penelas_,151969.500000,0.635420,93.921909
Alex_Sink_,0.000000,0.993088,138.298117
Alexander_Downer_,0.000000,0.716879,117.519306
Alexander_Losyukov_,95713.000000,0.567405,118.364246
Alexander_Rumyantsev_,0.000000,0.517334,105.978088
Alexandra_Stevenson_,0.000000,0.737455,124.364134
Alexandra_Vodjanikova_,84010.000000,0.433183,154.619600
Ali_Abbas_,0.000000,0.900514,91.202393
Ali_Khamenei_,122634.000000,1.061563,131.941492
Ali_Naimi_,180065.000000,1.239950,134.808025
Alice_Fisher_,124796.000000,0.555533,141.150087
