Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,85731.000000,0.658869,131.921211
Aaron_Sorkin_,0.000000,0.652331,117.375929
Abdel_Nasser_Assidi_,107468.000000,0.822539,158.800251
Abdoulaye_Wade_,126785.666667,0.771110,177.807997
Abdullah_,130913.666667,1.113241,139.137695
Abdullah_Gul_,101731.000000,1.075037,106.011982
Abdullah_al-Attiyah_,97977.500000,0.658554,163.374798
Abdullatif_Sener_,143949.500000,0.892849,124.873625
Abel_Pacheco_,134764.000000,0.769788,137.018661
Abid_Hamid_Mahmud_Al-Tikriti_,113433.000000,0.772255,177.238379
Adam_Sandler_,124651.000000,0.598992,115.313799
Adam_Scott_,127881.000000,0.977391,145.646025
Adel_Al-Jubeir_,137556.000000,0.760236,148.603846
Adolfo_Aguilar_Zinser_,165134.000000,0.940496,135.512024
Adolfo_Rodriguez_Saa_,146242.500000,0.952167,90.614979
Adrian_McPherson_,110445.000000,0.530137,196.329231
Adrian_Nastase_,147375.666667,1.316036,141.557728
Adrien_Brody_,144169.333333,0.902126,110.810753
Ahmad_Masood_,109010.500000,1.266706,149.197327
Ahmed_Chalabi_,127231.000000,1.123767,110.717371
Ahmet_Necdet_Sezer_,127490.000000,0.419275,129.478394
Ai_Sugiyama_,131375.333333,0.591306,135.275135
Aicha_El_Ouafi_,106557.666667,0.383889,151.218189
Aitor_Gonzalez_,142103.500000,1.039187,174.411390
Akbar_Hashemi_Rafsanjani_,127264.000000,0.734296,103.608891
Akhmed_Zakayev_,101635.666667,0.678478,128.842346
Al_Davis_,116079.666667,0.688583,140.211702
Al_Gore_,104154.000000,0.615183,139.247429
Al_Pacino_,0.000000,0.850773,122.287756
Al_Sharpton_,138994.000000,0.894794,164.890060
Alan_Ball_,84595.500000,0.471756,123.326237
Alan_Greenspan_,134769.500000,0.639675,147.617224
Alan_Mulally_,107559.333333,0.478444,110.246197
Alastair_Campbell_,129376.000000,1.074150,103.834175
Albert_Costa_,126845.250000,0.490995,159.904963
Alberto_Fujimori_,121217.666667,0.611324,127.421234
Alberto_Ruiz_Gallardon_,116260.000000,1.039461,106.277185
Albrecht_Mentz_,142257.000000,0.662123,128.807560
Aldo_Paredes_,136651.000000,1.096431,113.545050
Alec_Baldwin_,90132.000000,0.477160,103.853556
Alejandro_Atchugarry_,118694.000000,0.628591,120.335152
Alejandro_Avila_,135801.000000,0.878225,148.374414
Alejandro_Toledo_,120177.000000,0.744960,94.082170
Aleksander_Kwasniewski_,105693.000000,0.293919,138.487255
Alex_Barros_,124204.000000,1.044116,109.273207
Alex_Penelas_,101729.000000,0.464995,106.842314
Alex_Sink_,149623.000000,0.516704,149.193138
Alexander_Downer_,102136.500000,0.504299,105.949472
Alexander_Losyukov_,145272.000000,1.141945,112.936069
Alexander_Rumyantsev_,129105.666667,0.761773,112.057117
Alexandra_Stevenson_,120412.500000,0.718660,103.020063
Alexandra_Vodjanikova_,85345.000000,0.972580,154.613697
Ali_Abbas_,115869.000000,0.619106,109.474163
Ali_Khamenei_,138726.500000,0.960341,138.247099
Ali_Naimi_,80378.000000,0.473868,112.316103
Alice_Fisher_,127762.000000,1.062845,141.136793
