Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,29103.000000,0.886746,117.288740
Aaron_Sorkin_,81228.500000,0.697984,117.391628
Abdel_Nasser_Assidi_,128726.000000,0.701868,158.806705
Abdoulaye_Wade_,96717.000000,1.040071,177.819679
Abdullah_,152555.000000,1.008973,139.143318
Abdullah_Gul_,105274.000000,1.050330,142.072491
Abdullah_al-Attiyah_,119977.000000,0.459363,163.385923
Abdullatif_Sener_,122488.000000,1.068858,131.039425
Abel_Pacheco_,101910.000000,0.287828,135.929031
Abid_Hamid_Mahmud_Al-Tikriti_,106523.000000,0.941597,116.790485
Adam_Sandler_,114037.000000,0.307565,115.316025
Adam_Scott_,0.000000,1.056395,145.654696
Adel_Al-Jubeir_,128170.000000,0.594339,168.611290
Adolfo_Aguilar_Zinser_,124151.500000,0.798380,135.531651
Adolfo_Rodriguez_Saa_,154060.000000,1.041289,139.626368
Adrian_McPherson_,135119.000000,1.354935,155.084900
Adrian_Nastase_,133411.666667,0.848380,136.947966
Adrien_Brody_,129400.000000,0.598144,116.101486
Ahmad_Masood_,133883.333333,0.870549,126.420952
Ahmed_Chalabi_,135338.000000,1.263890,111.106625
Ahmet_Necdet_Sezer_,88618.500000,0.454574,129.489719
Ai_Sugiyama_,134945.000000,1.108032,130.572596
Aicha_El_Ouafi_,124272.500000,0.693664,151.234720
Aitor_Gonzalez_,110567.000000,1.347752,174.416624
Akbar_Hashemi_Rafsanjani_,124916.500000,0.857630,103.620008
Akhmed_Zakayev_,99386.750000,0.598743,128.859850
Al_Davis_,95224.000000,1.077311,140.233269
Al_Gore_,112672.666667,0.811351,139.251938
Al_Pacino_,99633.500000,0.278982,136.662069
Al_Sharpton_,173835.000000,1.144389,132.559479
Alan_Ball_,104360.833333,0.938127,123.355692
Alan_Greenspan_,145611.000000,0.473811,147.623222
Alan_Mulally_,155660.000000,0.706855,128.885469
Alastair_Campbell_,114191.333333,1.206480,129.323027
Albert_Costa_,129108.500000,0.568487,168.746841
Alberto_Fujimori_,136928.000000,0.615064,127.440102
Alberto_Ruiz_Gallardon_,119211.000000,0.344655,129.842787
Albrecht_Mentz_,98976.000000,0.350351,128.810694
Aldo_Paredes_,120993.000000,1.155010,113.558445
Alec_Baldwin_,126853.000000,0.903755,136.291368
Alejandro_Atchugarry_,140345.500000,0.887156,120.516409
Alejandro_Avila_,121118.000000,0.745126,160.753798
Alejandro_Toledo_,106559.000000,0.574193,130.843679
Aleksander_Kwasniewski_,95011.500000,0.466120,138.497368
Alex_Barros_,127985.000000,1.020635,109.318979
Alex_Penelas_,115843.500000,0.441666,106.860126
Alex_Sink_,124480.666667,0.617204,149.206379
Alexander_Downer_,105762.000000,0.529482,105.995438
Alexander_Losyukov_,68973.000000,0.537068,140.573780
Alexander_Rumyantsev_,139005.000000,0.875755,112.081402
Alexandra_Stevenson_,139855.000000,0.607143,160.334284
Alexandra_Vodjanikova_,123397.000000,0.878419,154.620180
Ali_Abbas_,104510.000000,1.062412,91.203228
Ali_Khamenei_,139644.000000,1.187448,131.942135
Ali_Naimi_,105831.000000,0.516304,112.342352
